기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남구,외지인방문자(b),896081.0,0.0
201901,남구,외국인방문자(c),4149.0,0.0
201901,남구,외부방문자(b+c),900230.0,0.0
201902,남구,외지인방문자(b),1059635.0,0.0
201902,남구,외국인방문자(c),4047.0,0.0
201902,남구,외부방문자(b+c),1063681.0,0.0
201903,남구,외지인방문자(b),898014.0,0.0
201903,남구,외국인방문자(c),4007.0,0.0
201903,남구,외부방문자(b+c),902021.0,0.0
201904,남구,외지인방문자(b),867806.0,0.0
201904,남구,외국인방문자(c),3982.0,0.0
201904,남구,외부방문자(b+c),871787.0,0.0
201905,남구,외지인방문자(b),925930.0,0.0
201905,남구,외국인방문자(c),4599.0,0.0
201905,남구,외부방문자(b+c),930529.0,0.0
201906,남구,외지인방문자(b),916526.0,0.0
201906,남구,외국인방문자(c),4089.0,0.0
201906,남구,외부방문자(b+c),920616.0,0.0
201907,남구,외지인방문자(b),907625.0,0.0
201907,남구,외국인방문자(c),5417.0,0.0
201907,남구,외부방문자(b+c),913042.0,0.0
201908,남구,외지인방문자(b),958493.0,0.0
201908,남구,외국인방문자(c),5544.0,0.0
201908,남구,외부방문자(b+c),964037.0,0.0
201909,남구,외지인방문자(b),1105828.0,0.0
201909,남구,외국인방문자(c),5904.0,0.0
201909,남구,외부방문자(b+c),1111732.0,0.0
201910,남구,외지인방문자(b),930179.0,0.0
201910,남구,외국인방문자(c),6084.0,0.0
201910,남구,외부방문자(b+c),936263.0,0.0
201911,남구,외지인방문자(b),903802.0,0.0
201911,남구,외국인방문자(c),5135.0,0.0
201911,남구,외부방문자(b+c),908937.0,0.0
201912,남구,외지인방문자(b),991093.0,0.0
201912,남구,외국인방문자(c),4723.0,0.0
201912,남구,외부방문자(b+c),995816.0,0.0
