기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서구,외지인방문자(b),1897575.0,0.0
201901,서구,외국인방문자(c),10273.0,0.0
201901,서구,외부방문자(b+c),1907847.0,0.0
201902,서구,외지인방문자(b),1995345.0,0.0
201902,서구,외국인방문자(c),11386.0,0.0
201902,서구,외부방문자(b+c),2006731.0,0.0
201903,서구,외지인방문자(b),1931853.0,0.0
201903,서구,외국인방문자(c),12920.0,0.0
201903,서구,외부방문자(b+c),1944773.0,0.0
201904,서구,외지인방문자(b),1879988.0,0.0
201904,서구,외국인방문자(c),13093.0,0.0
201904,서구,외부방문자(b+c),1893082.0,0.0
201905,서구,외지인방문자(b),2024731.0,0.0
201905,서구,외국인방문자(c),14115.0,0.0
201905,서구,외부방문자(b+c),2038846.0,0.0
201906,서구,외지인방문자(b),1997787.0,0.0
201906,서구,외국인방문자(c),12607.0,0.0
201906,서구,외부방문자(b+c),2010394.0,0.0
201907,서구,외지인방문자(b),1902442.0,0.0
201907,서구,외국인방문자(c),25746.0,0.0
201907,서구,외부방문자(b+c),1928189.0,0.0
201908,서구,외지인방문자(b),2000096.0,0.0
201908,서구,외국인방문자(c),16501.0,0.0
201908,서구,외부방문자(b+c),2016597.0,0.0
201909,서구,외지인방문자(b),2054705.0,0.0
201909,서구,외국인방문자(c),13271.0,0.0
201909,서구,외부방문자(b+c),2067975.0,0.0
201910,서구,외지인방문자(b),1956347.0,0.0
201910,서구,외국인방문자(c),14038.0,0.0
201910,서구,외부방문자(b+c),1970385.0,0.0
201911,서구,외지인방문자(b),2014528.0,0.0
201911,서구,외국인방문자(c),13393.0,0.0
201911,서구,외부방문자(b+c),2027921.0,0.0
201912,서구,외지인방문자(b),2210105.0,0.0
201912,서구,외국인방문자(c),11716.0,0.0
201912,서구,외부방문자(b+c),2221821.0,0.0
