기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,외지인방문자(b),1387229.0,0.0
201901,동구,외국인방문자(c),4797.0,0.0
201901,동구,외부방문자(b+c),1392027.0,0.0
201902,동구,외지인방문자(b),1435021.0,0.0
201902,동구,외국인방문자(c),5110.0,0.0
201902,동구,외부방문자(b+c),1440130.0,0.0
201903,동구,외지인방문자(b),1368943.0,0.0
201903,동구,외국인방문자(c),6916.0,0.0
201903,동구,외부방문자(b+c),1375859.0,0.0
201904,동구,외지인방문자(b),1275500.0,0.0
201904,동구,외국인방문자(c),6316.0,0.0
201904,동구,외부방문자(b+c),1281817.0,0.0
201905,동구,외지인방문자(b),1516990.0,0.0
201905,동구,외국인방문자(c),6779.0,0.0
201905,동구,외부방문자(b+c),1523769.0,0.0
201906,동구,외지인방문자(b),1431609.0,0.0
201906,동구,외국인방문자(c),6363.0,0.0
201906,동구,외부방문자(b+c),1437972.0,0.0
201907,동구,외지인방문자(b),1387644.0,0.0
201907,동구,외국인방문자(c),10077.0,0.0
201907,동구,외부방문자(b+c),1397721.0,0.0
201908,동구,외지인방문자(b),1451207.0,0.0
201908,동구,외국인방문자(c),8711.0,0.0
201908,동구,외부방문자(b+c),1459918.0,0.0
201909,동구,외지인방문자(b),1425406.0,0.0
201909,동구,외국인방문자(c),7593.0,0.0
201909,동구,외부방문자(b+c),1433000.0,0.0
201910,동구,외지인방문자(b),1480962.0,0.0
201910,동구,외국인방문자(c),8999.0,0.0
201910,동구,외부방문자(b+c),1489961.0,0.0
201911,동구,외지인방문자(b),1359985.0,0.0
201911,동구,외국인방문자(c),7646.0,0.0
201911,동구,외부방문자(b+c),1367631.0,0.0
201912,동구,외지인방문자(b),1492312.0,0.0
201912,동구,외국인방문자(c),6570.0,0.0
201912,동구,외부방문자(b+c),1498882.0,0.0
