기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남구,외지인방문자(b),983149.0,0.0
201901,남구,외국인방문자(c),5787.0,0.0
201901,남구,외부방문자(b+c),988936.0,0.0
201902,남구,외지인방문자(b),1066845.0,0.0
201902,남구,외국인방문자(c),5739.0,0.0
201902,남구,외부방문자(b+c),1072584.0,0.0
201903,남구,외지인방문자(b),984082.0,0.0
201903,남구,외국인방문자(c),5980.0,0.0
201903,남구,외부방문자(b+c),990062.0,0.0
201904,남구,외지인방문자(b),993206.0,0.0
201904,남구,외국인방문자(c),5384.0,0.0
201904,남구,외부방문자(b+c),998589.0,0.0
201905,남구,외지인방문자(b),1097093.0,0.0
201905,남구,외국인방문자(c),6124.0,0.0
201905,남구,외부방문자(b+c),1103217.0,0.0
201906,남구,외지인방문자(b),1068969.0,0.0
201906,남구,외국인방문자(c),6192.0,0.0
201906,남구,외부방문자(b+c),1075161.0,0.0
201907,남구,외지인방문자(b),1033253.0,0.0
201907,남구,외국인방문자(c),7947.0,0.0
201907,남구,외부방문자(b+c),1041200.0,0.0
201908,남구,외지인방문자(b),1080008.0,0.0
201908,남구,외국인방문자(c),7508.0,0.0
201908,남구,외부방문자(b+c),1087515.0,0.0
201909,남구,외지인방문자(b),1137533.0,0.0
201909,남구,외국인방문자(c),7402.0,0.0
201909,남구,외부방문자(b+c),1144935.0,0.0
201910,남구,외지인방문자(b),1055004.0,0.0
201910,남구,외국인방문자(c),8763.0,0.0
201910,남구,외부방문자(b+c),1063767.0,0.0
201911,남구,외지인방문자(b),1050285.0,0.0
201911,남구,외국인방문자(c),6968.0,0.0
201911,남구,외부방문자(b+c),1057253.0,0.0
201912,남구,외지인방문자(b),1119729.0,0.0
201912,남구,외국인방문자(c),5987.0,0.0
201912,남구,외부방문자(b+c),1125715.0,0.0
