기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,외지인방문자(b),2221085.0,0.0
201901,동구,외국인방문자(c),25848.0,0.0
201901,동구,외부방문자(b+c),2246933.0,0.0
201902,동구,외지인방문자(b),2391902.0,0.0
201902,동구,외국인방문자(c),27245.0,0.0
201902,동구,외부방문자(b+c),2419147.0,0.0
201903,동구,외지인방문자(b),2325863.0,0.0
201903,동구,외국인방문자(c),28290.0,0.0
201903,동구,외부방문자(b+c),2354152.0,0.0
201904,동구,외지인방문자(b),2185050.0,0.0
201904,동구,외국인방문자(c),28033.0,0.0
201904,동구,외부방문자(b+c),2213083.0,0.0
201905,동구,외지인방문자(b),2403514.0,0.0
201905,동구,외국인방문자(c),29449.0,0.0
201905,동구,외부방문자(b+c),2432963.0,0.0
201906,동구,외지인방문자(b),2336399.0,0.0
201906,동구,외국인방문자(c),32904.0,0.0
201906,동구,외부방문자(b+c),2369303.0,0.0
201907,동구,외지인방문자(b),2160491.0,0.0
201907,동구,외국인방문자(c),33727.0,0.0
201907,동구,외부방문자(b+c),2194218.0,0.0
201908,동구,외지인방문자(b),2312525.0,0.0
201908,동구,외국인방문자(c),30893.0,0.0
201908,동구,외부방문자(b+c),2343418.0,0.0
201909,동구,외지인방문자(b),2503921.0,0.0
201909,동구,외국인방문자(c),27141.0,0.0
201909,동구,외부방문자(b+c),2531062.0,0.0
201910,동구,외지인방문자(b),2403117.0,0.0
201910,동구,외국인방문자(c),36421.0,0.0
201910,동구,외부방문자(b+c),2439538.0,0.0
201911,동구,외지인방문자(b),2426970.0,0.0
201911,동구,외국인방문자(c),28581.0,0.0
201911,동구,외부방문자(b+c),2455551.0,0.0
201912,동구,외지인방문자(b),2482852.0,0.0
201912,동구,외국인방문자(c),24099.0,0.0
201912,동구,외부방문자(b+c),2506951.0,0.0
