기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,수성구,외지인방문자(b),1866598.0,0.0
201901,수성구,외국인방문자(c),11918.0,0.0
201901,수성구,외부방문자(b+c),1878517.0,0.0
201902,수성구,외지인방문자(b),2068808.0,0.0
201902,수성구,외국인방문자(c),12391.0,0.0
201902,수성구,외부방문자(b+c),2081200.0,0.0
201903,수성구,외지인방문자(b),1917035.0,0.0
201903,수성구,외국인방문자(c),13345.0,0.0
201903,수성구,외부방문자(b+c),1930380.0,0.0
201904,수성구,외지인방문자(b),1911413.0,0.0
201904,수성구,외국인방문자(c),12739.0,0.0
201904,수성구,외부방문자(b+c),1924151.0,0.0
201905,수성구,외지인방문자(b),2099460.0,0.0
201905,수성구,외국인방문자(c),14608.0,0.0
201905,수성구,외부방문자(b+c),2114068.0,0.0
201906,수성구,외지인방문자(b),2056007.0,0.0
201906,수성구,외국인방문자(c),14042.0,0.0
201906,수성구,외부방문자(b+c),2070050.0,0.0
201907,수성구,외지인방문자(b),2005594.0,0.0
201907,수성구,외국인방문자(c),16593.0,0.0
201907,수성구,외부방문자(b+c),2022187.0,0.0
201908,수성구,외지인방문자(b),2100557.0,0.0
201908,수성구,외국인방문자(c),16326.0,0.0
201908,수성구,외부방문자(b+c),2116883.0,0.0
201909,수성구,외지인방문자(b),2246061.0,0.0
201909,수성구,외국인방문자(c),15083.0,0.0
201909,수성구,외부방문자(b+c),2261145.0,0.0
201910,수성구,외지인방문자(b),1943702.0,0.0
201910,수성구,외국인방문자(c),17245.0,0.0
201910,수성구,외부방문자(b+c),1960946.0,0.0
201911,수성구,외지인방문자(b),1974615.0,0.0
201911,수성구,외국인방문자(c),15507.0,0.0
201911,수성구,외부방문자(b+c),1990122.0,0.0
201912,수성구,외지인방문자(b),2217795.0,0.0
201912,수성구,외국인방문자(c),15072.0,0.0
201912,수성구,외부방문자(b+c),2232867.0,0.0
