기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,달서구,외지인방문자(b),2227635.0,0.0
201901,달서구,외국인방문자(c),23153.0,0.0
201901,달서구,외부방문자(b+c),2250787.0,0.0
201902,달서구,외지인방문자(b),2526697.0,0.0
201902,달서구,외국인방문자(c),20062.0,0.0
201902,달서구,외부방문자(b+c),2546759.0,0.0
201903,달서구,외지인방문자(b),2251286.0,0.0
201903,달서구,외국인방문자(c),22929.0,0.0
201903,달서구,외부방문자(b+c),2274215.0,0.0
201904,달서구,외지인방문자(b),2227805.0,0.0
201904,달서구,외국인방문자(c),21177.0,0.0
201904,달서구,외부방문자(b+c),2248982.0,0.0
201905,달서구,외지인방문자(b),2416222.0,0.0
201905,달서구,외국인방문자(c),21850.0,0.0
201905,달서구,외부방문자(b+c),2438072.0,0.0
201906,달서구,외지인방문자(b),2379819.0,0.0
201906,달서구,외국인방문자(c),20922.0,0.0
201906,달서구,외부방문자(b+c),2400740.0,0.0
201907,달서구,외지인방문자(b),2325589.0,0.0
201907,달서구,외국인방문자(c),24625.0,0.0
201907,달서구,외부방문자(b+c),2350214.0,0.0
201908,달서구,외지인방문자(b),2385411.0,0.0
201908,달서구,외국인방문자(c),23968.0,0.0
201908,달서구,외부방문자(b+c),2409380.0,0.0
201909,달서구,외지인방문자(b),2591805.0,0.0
201909,달서구,외국인방문자(c),26232.0,0.0
201909,달서구,외부방문자(b+c),2618038.0,0.0
201910,달서구,외지인방문자(b),2358427.0,0.0
201910,달서구,외국인방문자(c),27375.0,0.0
201910,달서구,외부방문자(b+c),2385802.0,0.0
201911,달서구,외지인방문자(b),2320420.0,0.0
201911,달서구,외국인방문자(c),24891.0,0.0
201911,달서구,외부방문자(b+c),2345311.0,0.0
201912,달서구,외지인방문자(b),2553642.0,0.0
201912,달서구,외국인방문자(c),24771.0,0.0
201912,달서구,외부방문자(b+c),2578414.0,0.0
