기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,북구,외지인방문자(b),1782673.0,0.0
201901,북구,외국인방문자(c),14637.0,0.0
201901,북구,외부방문자(b+c),1797310.0,0.0
201902,북구,외지인방문자(b),2031245.0,0.0
201902,북구,외국인방문자(c),16514.0,0.0
201902,북구,외부방문자(b+c),2047759.0,0.0
201903,북구,외지인방문자(b),1804309.0,0.0
201903,북구,외국인방문자(c),18031.0,0.0
201903,북구,외부방문자(b+c),1822341.0,0.0
201904,북구,외지인방문자(b),1717264.0,0.0
201904,북구,외국인방문자(c),16640.0,0.0
201904,북구,외부방문자(b+c),1733905.0,0.0
201905,북구,외지인방문자(b),1882431.0,0.0
201905,북구,외국인방문자(c),17329.0,0.0
201905,북구,외부방문자(b+c),1899760.0,0.0
201906,북구,외지인방문자(b),1898527.0,0.0
201906,북구,외국인방문자(c),17384.0,0.0
201906,북구,외부방문자(b+c),1915911.0,0.0
201907,북구,외지인방문자(b),1795245.0,0.0
201907,북구,외국인방문자(c),18340.0,0.0
201907,북구,외부방문자(b+c),1813585.0,0.0
201908,북구,외지인방문자(b),1903923.0,0.0
201908,북구,외국인방문자(c),18059.0,0.0
201908,북구,외부방문자(b+c),1921982.0,0.0
201909,북구,외지인방문자(b),2105784.0,0.0
201909,북구,외국인방문자(c),20932.0,0.0
201909,북구,외부방문자(b+c),2126716.0,0.0
201910,북구,외지인방문자(b),1898254.0,0.0
201910,북구,외국인방문자(c),21786.0,0.0
201910,북구,외부방문자(b+c),1920040.0,0.0
201911,북구,외지인방문자(b),1885648.0,0.0
201911,북구,외국인방문자(c),18437.0,0.0
201911,북구,외부방문자(b+c),1904085.0,0.0
201912,북구,외지인방문자(b),2048840.0,0.0
201912,북구,외국인방문자(c),17642.0,0.0
201912,북구,외부방문자(b+c),2066482.0,0.0
