기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,중구,외지인방문자(b),2587817.0,0.0
201901,중구,외국인방문자(c),12812.0,0.0
201901,중구,외부방문자(b+c),2600629.0,0.0
201902,중구,외지인방문자(b),2649584.0,0.0
201902,중구,외국인방문자(c),14516.0,0.0
201902,중구,외부방문자(b+c),2664099.0,0.0
201903,중구,외지인방문자(b),2558304.0,0.0
201903,중구,외국인방문자(c),15035.0,0.0
201903,중구,외부방문자(b+c),2573339.0,0.0
201904,중구,외지인방문자(b),2280109.0,0.0
201904,중구,외국인방문자(c),13650.0,0.0
201904,중구,외부방문자(b+c),2293758.0,0.0
201905,중구,외지인방문자(b),2613494.0,0.0
201905,중구,외국인방문자(c),16731.0,0.0
201905,중구,외부방문자(b+c),2630226.0,0.0
201906,중구,외지인방문자(b),2558713.0,0.0
201906,중구,외국인방문자(c),17862.0,0.0
201906,중구,외부방문자(b+c),2576575.0,0.0
201907,중구,외지인방문자(b),2525726.0,0.0
201907,중구,외국인방문자(c),20727.0,0.0
201907,중구,외부방문자(b+c),2546453.0,0.0
201908,중구,외지인방문자(b),2628799.0,0.0
201908,중구,외국인방문자(c),18798.0,0.0
201908,중구,외부방문자(b+c),2647597.0,0.0
201909,중구,외지인방문자(b),2427364.0,0.0
201909,중구,외국인방문자(c),17274.0,0.0
201909,중구,외부방문자(b+c),2444638.0,0.0
201910,중구,외지인방문자(b),2469383.0,0.0
201910,중구,외국인방문자(c),23361.0,0.0
201910,중구,외부방문자(b+c),2492744.0,0.0
201911,중구,외지인방문자(b),2519894.0,0.0
201911,중구,외국인방문자(c),18775.0,0.0
201911,중구,외부방문자(b+c),2538669.0,0.0
201912,중구,외지인방문자(b),2843258.0,0.0
201912,중구,외국인방문자(c),15429.0,0.0
201912,중구,외부방문자(b+c),2858686.0,0.0
