기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,달성군,외지인방문자(b),1171871.0,0.0
201901,달성군,외국인방문자(c),12710.0,0.0
201901,달성군,외부방문자(b+c),1184580.0,0.0
201902,달성군,외지인방문자(b),1370582.0,0.0
201902,달성군,외국인방문자(c),12466.0,0.0
201902,달성군,외부방문자(b+c),1383048.0,0.0
201903,달성군,외지인방문자(b),1258632.0,0.0
201903,달성군,외국인방문자(c),14605.0,0.0
201903,달성군,외부방문자(b+c),1273237.0,0.0
201904,달성군,외지인방문자(b),1334346.0,0.0
201904,달성군,외국인방문자(c),14762.0,0.0
201904,달성군,외부방문자(b+c),1349108.0,0.0
201905,달성군,외지인방문자(b),1353952.0,0.0
201905,달성군,외국인방문자(c),15240.0,0.0
201905,달성군,외부방문자(b+c),1369192.0,0.0
201906,달성군,외지인방문자(b),1307308.0,0.0
201906,달성군,외국인방문자(c),15328.0,0.0
201906,달성군,외부방문자(b+c),1322637.0,0.0
201907,달성군,외지인방문자(b),1282773.0,0.0
201907,달성군,외국인방문자(c),14713.0,0.0
201907,달성군,외부방문자(b+c),1297486.0,0.0
201908,달성군,외지인방문자(b),1414828.0,0.0
201908,달성군,외국인방문자(c),14832.0,0.0
201908,달성군,외부방문자(b+c),1429660.0,0.0
201909,달성군,외지인방문자(b),1425463.0,0.0
201909,달성군,외국인방문자(c),15623.0,0.0
201909,달성군,외부방문자(b+c),1441086.0,0.0
201910,달성군,외지인방문자(b),1329761.0,0.0
201910,달성군,외국인방문자(c),16950.0,0.0
201910,달성군,외부방문자(b+c),1346711.0,0.0
201911,달성군,외지인방문자(b),1199124.0,0.0
201911,달성군,외국인방문자(c),15419.0,0.0
201911,달성군,외부방문자(b+c),1214543.0,0.0
201912,달성군,외지인방문자(b),1210078.0,0.0
201912,달성군,외국인방문자(c),14450.0,0.0
201912,달성군,외부방문자(b+c),1224527.0,0.0
