기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서구,외지인방문자(b),864687.0,0.0
201901,서구,외국인방문자(c),5110.0,0.0
201901,서구,외부방문자(b+c),869798.0,0.0
201902,서구,외지인방문자(b),1019558.0,0.0
201902,서구,외국인방문자(c),4858.0,0.0
201902,서구,외부방문자(b+c),1024416.0,0.0
201903,서구,외지인방문자(b),837452.0,0.0
201903,서구,외국인방문자(c),4805.0,0.0
201903,서구,외부방문자(b+c),842257.0,0.0
201904,서구,외지인방문자(b),850589.0,0.0
201904,서구,외국인방문자(c),4090.0,0.0
201904,서구,외부방문자(b+c),854679.0,0.0
201905,서구,외지인방문자(b),888491.0,0.0
201905,서구,외국인방문자(c),4662.0,0.0
201905,서구,외부방문자(b+c),893153.0,0.0
201906,서구,외지인방문자(b),854076.0,0.0
201906,서구,외국인방문자(c),4924.0,0.0
201906,서구,외부방문자(b+c),858999.0,0.0
201907,서구,외지인방문자(b),866480.0,0.0
201907,서구,외국인방문자(c),5810.0,0.0
201907,서구,외부방문자(b+c),872290.0,0.0
201908,서구,외지인방문자(b),860100.0,0.0
201908,서구,외국인방문자(c),5511.0,0.0
201908,서구,외부방문자(b+c),865612.0,0.0
201909,서구,외지인방문자(b),1025904.0,0.0
201909,서구,외국인방문자(c),5846.0,0.0
201909,서구,외부방문자(b+c),1031750.0,0.0
201910,서구,외지인방문자(b),821345.0,0.0
201910,서구,외국인방문자(c),6333.0,0.0
201910,서구,외부방문자(b+c),827677.0,0.0
201911,서구,외지인방문자(b),813895.0,0.0
201911,서구,외국인방문자(c),5603.0,0.0
201911,서구,외부방문자(b+c),819498.0,0.0
201912,서구,외지인방문자(b),890006.0,0.0
201912,서구,외국인방문자(c),5283.0,0.0
201912,서구,외부방문자(b+c),895289.0,0.0
