기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,대덕구,외지인방문자(b),802142.0,0.0
201901,대덕구,외국인방문자(c),5854.0,0.0
201901,대덕구,외부방문자(b+c),807996.0,0.0
201902,대덕구,외지인방문자(b),855545.0,0.0
201902,대덕구,외국인방문자(c),5743.0,0.0
201902,대덕구,외부방문자(b+c),861289.0,0.0
201903,대덕구,외지인방문자(b),790019.0,0.0
201903,대덕구,외국인방문자(c),7203.0,0.0
201903,대덕구,외부방문자(b+c),797221.0,0.0
201904,대덕구,외지인방문자(b),788597.0,0.0
201904,대덕구,외국인방문자(c),7585.0,0.0
201904,대덕구,외부방문자(b+c),796182.0,0.0
201905,대덕구,외지인방문자(b),851859.0,0.0
201905,대덕구,외국인방문자(c),7468.0,0.0
201905,대덕구,외부방문자(b+c),859326.0,0.0
201906,대덕구,외지인방문자(b),848899.0,0.0
201906,대덕구,외국인방문자(c),6907.0,0.0
201906,대덕구,외부방문자(b+c),855806.0,0.0
201907,대덕구,외지인방문자(b),817592.0,0.0
201907,대덕구,외국인방문자(c),7934.0,0.0
201907,대덕구,외부방문자(b+c),825525.0,0.0
201908,대덕구,외지인방문자(b),856763.0,0.0
201908,대덕구,외국인방문자(c),7891.0,0.0
201908,대덕구,외부방문자(b+c),864653.0,0.0
201909,대덕구,외지인방문자(b),930939.0,0.0
201909,대덕구,외국인방문자(c),8482.0,0.0
201909,대덕구,외부방문자(b+c),939422.0,0.0
201910,대덕구,외지인방문자(b),835163.0,0.0
201910,대덕구,외국인방문자(c),8408.0,0.0
201910,대덕구,외부방문자(b+c),843570.0,0.0
201911,대덕구,외지인방문자(b),826590.0,0.0
201911,대덕구,외국인방문자(c),7239.0,0.0
201911,대덕구,외부방문자(b+c),833829.0,0.0
201912,대덕구,외지인방문자(b),851384.0,0.0
201912,대덕구,외국인방문자(c),6453.0,0.0
201912,대덕구,외부방문자(b+c),857837.0,0.0
