기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,유성구,외지인방문자(b),1950135.0,0.0
201901,유성구,외국인방문자(c),21324.0,0.0
201901,유성구,외부방문자(b+c),1971459.0,0.0
201902,유성구,외지인방문자(b),1918837.0,0.0
201902,유성구,외국인방문자(c),22732.0,0.0
201902,유성구,외부방문자(b+c),1941569.0,0.0
201903,유성구,외지인방문자(b),1981313.0,0.0
201903,유성구,외국인방문자(c),26343.0,0.0
201903,유성구,외부방문자(b+c),2007656.0,0.0
201904,유성구,외지인방문자(b),1952921.0,0.0
201904,유성구,외국인방문자(c),25736.0,0.0
201904,유성구,외부방문자(b+c),1978657.0,0.0
201905,유성구,외지인방문자(b),2096355.0,0.0
201905,유성구,외국인방문자(c),26244.0,0.0
201905,유성구,외부방문자(b+c),2122599.0,0.0
201906,유성구,외지인방문자(b),2075443.0,0.0
201906,유성구,외국인방문자(c),24844.0,0.0
201906,유성구,외부방문자(b+c),2100287.0,0.0
201907,유성구,외지인방문자(b),1977137.0,0.0
201907,유성구,외국인방문자(c),27319.0,0.0
201907,유성구,외부방문자(b+c),2004456.0,0.0
201908,유성구,외지인방문자(b),2101500.0,0.0
201908,유성구,외국인방문자(c),28196.0,0.0
201908,유성구,외부방문자(b+c),2129696.0,0.0
201909,유성구,외지인방문자(b),2045907.0,0.0
201909,유성구,외국인방문자(c),33511.0,0.0
201909,유성구,외부방문자(b+c),2079418.0,0.0
201910,유성구,외지인방문자(b),2130309.0,0.0
201910,유성구,외국인방문자(c),31657.0,0.0
201910,유성구,외부방문자(b+c),2161966.0,0.0
201911,유성구,외지인방문자(b),2081628.0,0.0
201911,유성구,외국인방문자(c),27917.0,0.0
201911,유성구,외부방문자(b+c),2109545.0,0.0
201912,유성구,외지인방문자(b),2163610.0,0.0
201912,유성구,외국인방문자(c),24491.0,0.0
201912,유성구,외부방문자(b+c),2188101.0,0.0
