기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,외지인방문자(b),1258291.0,0.0
201901,동구,외국인방문자(c),14123.0,0.0
201901,동구,외부방문자(b+c),1272414.0,0.0
201902,동구,외지인방문자(b),1414655.0,0.0
201902,동구,외국인방문자(c),11205.0,0.0
201902,동구,외부방문자(b+c),1425861.0,0.0
201903,동구,외지인방문자(b),1226538.0,0.0
201903,동구,외국인방문자(c),16156.0,0.0
201903,동구,외부방문자(b+c),1242693.0,0.0
201904,동구,외지인방문자(b),1161000.0,0.0
201904,동구,외국인방문자(c),14015.0,0.0
201904,동구,외부방문자(b+c),1175014.0,0.0
201905,동구,외지인방문자(b),1271335.0,0.0
201905,동구,외국인방문자(c),15482.0,0.0
201905,동구,외부방문자(b+c),1286817.0,0.0
201906,동구,외지인방문자(b),1281727.0,0.0
201906,동구,외국인방문자(c),14244.0,0.0
201906,동구,외부방문자(b+c),1295971.0,0.0
201907,동구,외지인방문자(b),1256535.0,0.0
201907,동구,외국인방문자(c),13746.0,0.0
201907,동구,외부방문자(b+c),1270281.0,0.0
201908,동구,외지인방문자(b),1370413.0,0.0
201908,동구,외국인방문자(c),13642.0,0.0
201908,동구,외부방문자(b+c),1384055.0,0.0
201909,동구,외지인방문자(b),1368799.0,0.0
201909,동구,외국인방문자(c),17483.0,0.0
201909,동구,외부방문자(b+c),1386282.0,0.0
201910,동구,외지인방문자(b),1248041.0,0.0
201910,동구,외국인방문자(c),17249.0,0.0
201910,동구,외부방문자(b+c),1265290.0,0.0
201911,동구,외지인방문자(b),1266378.0,0.0
201911,동구,외국인방문자(c),15662.0,0.0
201911,동구,외부방문자(b+c),1282040.0,0.0
201912,동구,외지인방문자(b),1364231.0,0.0
201912,동구,외국인방문자(c),12987.0,0.0
201912,동구,외부방문자(b+c),1377218.0,0.0
