기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,중구,외지인방문자(b),1627588.0,0.0
201901,중구,외국인방문자(c),6339.0,0.0
201901,중구,외부방문자(b+c),1633927.0,0.0
201902,중구,외지인방문자(b),1795824.0,0.0
201902,중구,외국인방문자(c),6303.0,0.0
201902,중구,외부방문자(b+c),1802128.0,0.0
201903,중구,외지인방문자(b),1611307.0,0.0
201903,중구,외국인방문자(c),6830.0,0.0
201903,중구,외부방문자(b+c),1618137.0,0.0
201904,중구,외지인방문자(b),1590948.0,0.0
201904,중구,외국인방문자(c),5998.0,0.0
201904,중구,외부방문자(b+c),1596946.0,0.0
201905,중구,외지인방문자(b),1830084.0,0.0
201905,중구,외국인방문자(c),6788.0,0.0
201905,중구,외부방문자(b+c),1836873.0,0.0
201906,중구,외지인방문자(b),1748587.0,0.0
201906,중구,외국인방문자(c),6295.0,0.0
201906,중구,외부방문자(b+c),1754883.0,0.0
201907,중구,외지인방문자(b),1660205.0,0.0
201907,중구,외국인방문자(c),7996.0,0.0
201907,중구,외부방문자(b+c),1668201.0,0.0
201908,중구,외지인방문자(b),1833201.0,0.0
201908,중구,외국인방문자(c),8123.0,0.0
201908,중구,외부방문자(b+c),1841324.0,0.0
201909,중구,외지인방문자(b),1840960.0,0.0
201909,중구,외국인방문자(c),7322.0,0.0
201909,중구,외부방문자(b+c),1848282.0,0.0
201910,중구,외지인방문자(b),1711541.0,0.0
201910,중구,외국인방문자(c),7771.0,0.0
201910,중구,외부방문자(b+c),1719312.0,0.0
201911,중구,외지인방문자(b),1643964.0,0.0
201911,중구,외국인방문자(c),6787.0,0.0
201911,중구,외부방문자(b+c),1650751.0,0.0
201912,중구,외지인방문자(b),1760336.0,0.0
201912,중구,외국인방문자(c),7050.0,0.0
201912,중구,외부방문자(b+c),1767387.0,0.0
