기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서구,외지인방문자(b),2334184.0,0.0
201901,서구,외국인방문자(c),19163.0,0.0
201901,서구,외부방문자(b+c),2353347.0,0.0
201902,서구,외지인방문자(b),2409593.0,0.0
201902,서구,외국인방문자(c),15619.0,0.0
201902,서구,외부방문자(b+c),2425212.0,0.0
201903,서구,외지인방문자(b),2263306.0,0.0
201903,서구,외국인방문자(c),17858.0,0.0
201903,서구,외부방문자(b+c),2281164.0,0.0
201904,서구,외지인방문자(b),2106852.0,0.0
201904,서구,외국인방문자(c),17016.0,0.0
201904,서구,외부방문자(b+c),2123867.0,0.0
201905,서구,외지인방문자(b),2327814.0,0.0
201905,서구,외국인방문자(c),17688.0,0.0
201905,서구,외부방문자(b+c),2345503.0,0.0
201906,서구,외지인방문자(b),2337820.0,0.0
201906,서구,외국인방문자(c),17554.0,0.0
201906,서구,외부방문자(b+c),2355374.0,0.0
201907,서구,외지인방문자(b),2264738.0,0.0
201907,서구,외국인방문자(c),23461.0,0.0
201907,서구,외부방문자(b+c),2288198.0,0.0
201908,서구,외지인방문자(b),2446308.0,0.0
201908,서구,외국인방문자(c),23104.0,0.0
201908,서구,외부방문자(b+c),2469412.0,0.0
201909,서구,외지인방문자(b),2407302.0,0.0
201909,서구,외국인방문자(c),21102.0,0.0
201909,서구,외부방문자(b+c),2428404.0,0.0
201910,서구,외지인방문자(b),2319318.0,0.0
201910,서구,외국인방문자(c),21134.0,0.0
201910,서구,외부방문자(b+c),2340452.0,0.0
201911,서구,외지인방문자(b),2364896.0,0.0
201911,서구,외국인방문자(c),17902.0,0.0
201911,서구,외부방문자(b+c),2382798.0,0.0
201912,서구,외지인방문자(b),2564527.0,0.0
201912,서구,외국인방문자(c),18282.0,0.0
201912,서구,외부방문자(b+c),2582809.0,0.0
