기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,강서구,외지인방문자(b),1354653.0,0.0
201901,강서구,외국인방문자(c),76908.0,0.0
201901,강서구,외부방문자(b+c),1431560.0,0.0
201902,강서구,외지인방문자(b),1341310.0,0.0
201902,강서구,외국인방문자(c),90432.0,0.0
201902,강서구,외부방문자(b+c),1431742.0,0.0
201903,강서구,외지인방문자(b),1394287.0,0.0
201903,강서구,외국인방문자(c),93346.0,0.0
201903,강서구,외부방문자(b+c),1487633.0,0.0
201904,강서구,외지인방문자(b),1289375.0,0.0
201904,강서구,외국인방문자(c),85197.0,0.0
201904,강서구,외부방문자(b+c),1374572.0,0.0
201905,강서구,외지인방문자(b),1332450.0,0.0
201905,강서구,외국인방문자(c),94443.0,0.0
201905,강서구,외부방문자(b+c),1426894.0,0.0
201906,강서구,외지인방문자(b),1306093.0,0.0
201906,강서구,외국인방문자(c),103909.0,0.0
201906,강서구,외부방문자(b+c),1410002.0,0.0
201907,강서구,외지인방문자(b),1348487.0,0.0
201907,강서구,외국인방문자(c),103637.0,0.0
201907,강서구,외부방문자(b+c),1452123.0,0.0
201908,강서구,외지인방문자(b),1402831.0,0.0
201908,강서구,외국인방문자(c),104498.0,0.0
201908,강서구,외부방문자(b+c),1507330.0,0.0
201909,강서구,외지인방문자(b),1266222.0,0.0
201909,강서구,외국인방문자(c),94307.0,0.0
201909,강서구,외부방문자(b+c),1360530.0,0.0
201910,강서구,외지인방문자(b),1305379.0,0.0
201910,강서구,외국인방문자(c),95631.0,0.0
201910,강서구,외부방문자(b+c),1401010.0,0.0
201911,강서구,외지인방문자(b),1320791.0,0.0
201911,강서구,외국인방문자(c),85767.0,0.0
201911,강서구,외부방문자(b+c),1406559.0,0.0
201912,강서구,외지인방문자(b),1436753.0,0.0
201912,강서구,외국인방문자(c),91255.0,0.0
201912,강서구,외부방문자(b+c),1528008.0,0.0
