기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남구,외지인방문자(b),1070306.0,0.0
201901,남구,외국인방문자(c),28905.0,0.0
201901,남구,외부방문자(b+c),1099211.0,0.0
201902,남구,외지인방문자(b),1351557.0,0.0
201902,남구,외국인방문자(c),25104.0,0.0
201902,남구,외부방문자(b+c),1376661.0,0.0
201903,남구,외지인방문자(b),1127592.0,0.0
201903,남구,외국인방문자(c),26817.0,0.0
201903,남구,외부방문자(b+c),1154409.0,0.0
201904,남구,외지인방문자(b),1071124.0,0.0
201904,남구,외국인방문자(c),27824.0,0.0
201904,남구,외부방문자(b+c),1098949.0,0.0
201905,남구,외지인방문자(b),1196590.0,0.0
201905,남구,외국인방문자(c),29793.0,0.0
201905,남구,외부방문자(b+c),1226383.0,0.0
201906,남구,외지인방문자(b),1194401.0,0.0
201906,남구,외국인방문자(c),28685.0,0.0
201906,남구,외부방문자(b+c),1223086.0,0.0
201907,남구,외지인방문자(b),1152431.0,0.0
201907,남구,외국인방문자(c),44277.0,0.0
201907,남구,외부방문자(b+c),1196708.0,0.0
201908,남구,외지인방문자(b),1239185.0,0.0
201908,남구,외국인방문자(c),40539.0,0.0
201908,남구,외부방문자(b+c),1279724.0,0.0
201909,남구,외지인방문자(b),1242209.0,0.0
201909,남구,외국인방문자(c),45707.0,0.0
201909,남구,외부방문자(b+c),1287916.0,0.0
201910,남구,외지인방문자(b),1078954.0,0.0
201910,남구,외국인방문자(c),45391.0,0.0
201910,남구,외부방문자(b+c),1124345.0,0.0
201911,남구,외지인방문자(b),1129200.0,0.0
201911,남구,외국인방문자(c),37245.0,0.0
201911,남구,외부방문자(b+c),1166446.0,0.0
201912,남구,외지인방문자(b),1275774.0,0.0
201912,남구,외국인방문자(c),39490.0,0.0
201912,남구,외부방문자(b+c),1315264.0,0.0
