기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,부산진구,외지인방문자(b),2975096.0,0.0
201901,부산진구,외국인방문자(c),56497.0,0.0
201901,부산진구,외부방문자(b+c),3031594.0,0.0
201902,부산진구,외지인방문자(b),3477916.0,0.0
201902,부산진구,외국인방문자(c),64604.0,0.0
201902,부산진구,외부방문자(b+c),3542520.0,0.0
201903,부산진구,외지인방문자(b),2948081.0,0.0
201903,부산진구,외국인방문자(c),64833.0,0.0
201903,부산진구,외부방문자(b+c),3012914.0,0.0
201904,부산진구,외지인방문자(b),2709095.0,0.0
201904,부산진구,외국인방문자(c),57834.0,0.0
201904,부산진구,외부방문자(b+c),2766928.0,0.0
201905,부산진구,외지인방문자(b),3034815.0,0.0
201905,부산진구,외국인방문자(c),71677.0,0.0
201905,부산진구,외부방문자(b+c),3106493.0,0.0
201906,부산진구,외지인방문자(b),3084718.0,0.0
201906,부산진구,외국인방문자(c),78311.0,0.0
201906,부산진구,외부방문자(b+c),3163029.0,0.0
201907,부산진구,외지인방문자(b),3052206.0,0.0
201907,부산진구,외국인방문자(c),78832.0,0.0
201907,부산진구,외부방문자(b+c),3131038.0,0.0
201908,부산진구,외지인방문자(b),3247560.0,0.0
201908,부산진구,외국인방문자(c),79440.0,0.0
201908,부산진구,외부방문자(b+c),3327000.0,0.0
201909,부산진구,외지인방문자(b),3050547.0,0.0
201909,부산진구,외국인방문자(c),63721.0,0.0
201909,부산진구,외부방문자(b+c),3114268.0,0.0
201910,부산진구,외지인방문자(b),2898094.0,0.0
201910,부산진구,외국인방문자(c),90518.0,0.0
201910,부산진구,외부방문자(b+c),2988612.0,0.0
201911,부산진구,외지인방문자(b),2957150.0,0.0
201911,부산진구,외국인방문자(c),74465.0,0.0
201911,부산진구,외부방문자(b+c),3031615.0,0.0
201912,부산진구,외지인방문자(b),3373642.0,0.0
201912,부산진구,외국인방문자(c),76134.0,0.0
201912,부산진구,외부방문자(b+c),3449776.0,0.0
