기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,사하구,외지인방문자(b),938423.0,0.0
201901,사하구,외국인방문자(c),25756.0,0.0
201901,사하구,외부방문자(b+c),964179.0,0.0
201902,사하구,외지인방문자(b),1135152.0,0.0
201902,사하구,외국인방문자(c),29999.0,0.0
201902,사하구,외부방문자(b+c),1165151.0,0.0
201903,사하구,외지인방문자(b),932890.0,0.0
201903,사하구,외국인방문자(c),34731.0,0.0
201903,사하구,외부방문자(b+c),967622.0,0.0
201904,사하구,외지인방문자(b),887465.0,0.0
201904,사하구,외국인방문자(c),36051.0,0.0
201904,사하구,외부방문자(b+c),923516.0,0.0
201905,사하구,외지인방문자(b),1015104.0,0.0
201905,사하구,외국인방문자(c),39668.0,0.0
201905,사하구,외부방문자(b+c),1054773.0,0.0
201906,사하구,외지인방문자(b),1029442.0,0.0
201906,사하구,외국인방문자(c),35941.0,0.0
201906,사하구,외부방문자(b+c),1065384.0,0.0
201907,사하구,외지인방문자(b),994275.0,0.0
201907,사하구,외국인방문자(c),30549.0,0.0
201907,사하구,외부방문자(b+c),1024825.0,0.0
201908,사하구,외지인방문자(b),1111481.0,0.0
201908,사하구,외국인방문자(c),28976.0,0.0
201908,사하구,외부방문자(b+c),1140458.0,0.0
201909,사하구,외지인방문자(b),1100173.0,0.0
201909,사하구,외국인방문자(c),26225.0,0.0
201909,사하구,외부방문자(b+c),1126398.0,0.0
201910,사하구,외지인방문자(b),973268.0,0.0
201910,사하구,외국인방문자(c),35601.0,0.0
201910,사하구,외부방문자(b+c),1008869.0,0.0
201911,사하구,외지인방문자(b),930487.0,0.0
201911,사하구,외국인방문자(c),28993.0,0.0
201911,사하구,외부방문자(b+c),959480.0,0.0
201912,사하구,외지인방문자(b),1003256.0,0.0
201912,사하구,외국인방문자(c),27025.0,0.0
201912,사하구,외부방문자(b+c),1030281.0,0.0
