기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,연제구,외지인방문자(b),1251066.0,0.0
201901,연제구,외국인방문자(c),13110.0,0.0
201901,연제구,외부방문자(b+c),1264176.0,0.0
201902,연제구,외지인방문자(b),1374920.0,0.0
201902,연제구,외국인방문자(c),10606.0,0.0
201902,연제구,외부방문자(b+c),1385526.0,0.0
201903,연제구,외지인방문자(b),1287743.0,0.0
201903,연제구,외국인방문자(c),10881.0,0.0
201903,연제구,외부방문자(b+c),1298623.0,0.0
201904,연제구,외지인방문자(b),1233725.0,0.0
201904,연제구,외국인방문자(c),9351.0,0.0
201904,연제구,외부방문자(b+c),1243076.0,0.0
201905,연제구,외지인방문자(b),1296018.0,0.0
201905,연제구,외국인방문자(c),10639.0,0.0
201905,연제구,외부방문자(b+c),1306657.0,0.0
201906,연제구,외지인방문자(b),1315906.0,0.0
201906,연제구,외국인방문자(c),10708.0,0.0
201906,연제구,외부방문자(b+c),1326614.0,0.0
201907,연제구,외지인방문자(b),1245160.0,0.0
201907,연제구,외국인방문자(c),11085.0,0.0
201907,연제구,외부방문자(b+c),1256245.0,0.0
201908,연제구,외지인방문자(b),1283355.0,0.0
201908,연제구,외국인방문자(c),10074.0,0.0
201908,연제구,외부방문자(b+c),1293429.0,0.0
201909,연제구,외지인방문자(b),1415316.0,0.0
201909,연제구,외국인방문자(c),9815.0,0.0
201909,연제구,외부방문자(b+c),1425132.0,0.0
201910,연제구,외지인방문자(b),1259981.0,0.0
201910,연제구,외국인방문자(c),11810.0,0.0
201910,연제구,외부방문자(b+c),1271791.0,0.0
201911,연제구,외지인방문자(b),1248988.0,0.0
201911,연제구,외국인방문자(c),9856.0,0.0
201911,연제구,외부방문자(b+c),1258844.0,0.0
201912,연제구,외지인방문자(b),1402762.0,0.0
201912,연제구,외국인방문자(c),11508.0,0.0
201912,연제구,외부방문자(b+c),1414270.0,0.0
