기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,해운대구,외지인방문자(b),2935050.0,0.0
201901,해운대구,외국인방문자(c),51797.0,0.0
201901,해운대구,외부방문자(b+c),2986847.0,0.0
201902,해운대구,외지인방문자(b),3224864.0,0.0
201902,해운대구,외국인방문자(c),61202.0,0.0
201902,해운대구,외부방문자(b+c),3286066.0,0.0
201903,해운대구,외지인방문자(b),2815170.0,0.0
201903,해운대구,외국인방문자(c),62599.0,0.0
201903,해운대구,외부방문자(b+c),2877769.0,0.0
201904,해운대구,외지인방문자(b),2587050.0,0.0
201904,해운대구,외국인방문자(c),66940.0,0.0
201904,해운대구,외부방문자(b+c),2653990.0,0.0
201905,해운대구,외지인방문자(b),2982443.0,0.0
201905,해운대구,외국인방문자(c),77959.0,0.0
201905,해운대구,외부방문자(b+c),3060402.0,0.0
201906,해운대구,외지인방문자(b),3174988.0,0.0
201906,해운대구,외국인방문자(c),82157.0,0.0
201906,해운대구,외부방문자(b+c),3257145.0,0.0
201907,해운대구,외지인방문자(b),3081642.0,0.0
201907,해운대구,외국인방문자(c),85906.0,0.0
201907,해운대구,외부방문자(b+c),3167548.0,0.0
201908,해운대구,외지인방문자(b),3774202.0,0.0
201908,해운대구,외국인방문자(c),83289.0,0.0
201908,해운대구,외부방문자(b+c),3857491.0,0.0
201909,해운대구,외지인방문자(b),2820706.0,0.0
201909,해운대구,외국인방문자(c),72009.0,0.0
201909,해운대구,외부방문자(b+c),2892715.0,0.0
201910,해운대구,외지인방문자(b),2871338.0,0.0
201910,해운대구,외국인방문자(c),101594.0,0.0
201910,해운대구,외부방문자(b+c),2972931.0,0.0
201911,해운대구,외지인방문자(b),2920477.0,0.0
201911,해운대구,외국인방문자(c),71761.0,0.0
201911,해운대구,외부방문자(b+c),2992238.0,0.0
201912,해운대구,외지인방문자(b),3329371.0,0.0
201912,해운대구,외국인방문자(c),69819.0,0.0
201912,해운대구,외부방문자(b+c),3399191.0,0.0
