기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,금정구,외지인방문자(b),1202224.0,0.0
201901,금정구,외국인방문자(c),12803.0,0.0
201901,금정구,외부방문자(b+c),1215027.0,0.0
201902,금정구,외지인방문자(b),1403272.0,0.0
201902,금정구,외국인방문자(c),14323.0,0.0
201902,금정구,외부방문자(b+c),1417595.0,0.0
201903,금정구,외지인방문자(b),1300627.0,0.0
201903,금정구,외국인방문자(c),17908.0,0.0
201903,금정구,외부방문자(b+c),1318535.0,0.0
201904,금정구,외지인방문자(b),1233570.0,0.0
201904,금정구,외국인방문자(c),14551.0,0.0
201904,금정구,외부방문자(b+c),1248121.0,0.0
201905,금정구,외지인방문자(b),1358731.0,0.0
201905,금정구,외국인방문자(c),17259.0,0.0
201905,금정구,외부방문자(b+c),1375990.0,0.0
201906,금정구,외지인방문자(b),1363450.0,0.0
201906,금정구,외국인방문자(c),16018.0,0.0
201906,금정구,외부방문자(b+c),1379468.0,0.0
201907,금정구,외지인방문자(b),1273291.0,0.0
201907,금정구,외국인방문자(c),15005.0,0.0
201907,금정구,외부방문자(b+c),1288296.0,0.0
201908,금정구,외지인방문자(b),1326312.0,0.0
201908,금정구,외국인방문자(c),17886.0,0.0
201908,금정구,외부방문자(b+c),1344198.0,0.0
201909,금정구,외지인방문자(b),1376183.0,0.0
201909,금정구,외국인방문자(c),20964.0,0.0
201909,금정구,외부방문자(b+c),1397147.0,0.0
201910,금정구,외지인방문자(b),1231527.0,0.0
201910,금정구,외국인방문자(c),21207.0,0.0
201910,금정구,외부방문자(b+c),1252735.0,0.0
201911,금정구,외지인방문자(b),1240522.0,0.0
201911,금정구,외국인방문자(c),19306.0,0.0
201911,금정구,외부방문자(b+c),1259827.0,0.0
201912,금정구,외지인방문자(b),1334979.0,0.0
201912,금정구,외국인방문자(c),17417.0,0.0
201912,금정구,외부방문자(b+c),1352395.0,0.0
