기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,외지인방문자(b),884676.0,0.0
201901,동구,외국인방문자(c),23420.0,0.0
201901,동구,외부방문자(b+c),908095.0,0.0
201902,동구,외지인방문자(b),942561.0,0.0
201902,동구,외국인방문자(c),25898.0,0.0
201902,동구,외부방문자(b+c),968459.0,0.0
201903,동구,외지인방문자(b),896383.0,0.0
201903,동구,외국인방문자(c),27489.0,0.0
201903,동구,외부방문자(b+c),923872.0,0.0
201904,동구,외지인방문자(b),871946.0,0.0
201904,동구,외국인방문자(c),30623.0,0.0
201904,동구,외부방문자(b+c),902569.0,0.0
201905,동구,외지인방문자(b),911503.0,0.0
201905,동구,외국인방문자(c),34345.0,0.0
201905,동구,외부방문자(b+c),945848.0,0.0
201906,동구,외지인방문자(b),896030.0,0.0
201906,동구,외국인방문자(c),30970.0,0.0
201906,동구,외부방문자(b+c),927001.0,0.0
201907,동구,외지인방문자(b),837951.0,0.0
201907,동구,외국인방문자(c),32153.0,0.0
201907,동구,외부방문자(b+c),870104.0,0.0
201908,동구,외지인방문자(b),868956.0,0.0
201908,동구,외국인방문자(c),31815.0,0.0
201908,동구,외부방문자(b+c),900771.0,0.0
201909,동구,외지인방문자(b),864461.0,0.0
201909,동구,외국인방문자(c),30994.0,0.0
201909,동구,외부방문자(b+c),895455.0,0.0
201910,동구,외지인방문자(b),851106.0,0.0
201910,동구,외국인방문자(c),40610.0,0.0
201910,동구,외부방문자(b+c),891716.0,0.0
201911,동구,외지인방문자(b),875086.0,0.0
201911,동구,외국인방문자(c),30441.0,0.0
201911,동구,외부방문자(b+c),905527.0,0.0
201912,동구,외지인방문자(b),933558.0,0.0
201912,동구,외국인방문자(c),33286.0,0.0
201912,동구,외부방문자(b+c),966844.0,0.0
