기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,북구,외지인방문자(b),921298.0,0.0
201901,북구,외국인방문자(c),5540.0,0.0
201901,북구,외부방문자(b+c),926838.0,0.0
201902,북구,외지인방문자(b),1103009.0,0.0
201902,북구,외국인방문자(c),5984.0,0.0
201902,북구,외부방문자(b+c),1108993.0,0.0
201903,북구,외지인방문자(b),956878.0,0.0
201903,북구,외국인방문자(c),5925.0,0.0
201903,북구,외부방문자(b+c),962802.0,0.0
201904,북구,외지인방문자(b),906738.0,0.0
201904,북구,외국인방문자(c),5178.0,0.0
201904,북구,외부방문자(b+c),911917.0,0.0
201905,북구,외지인방문자(b),978192.0,0.0
201905,북구,외국인방문자(c),5794.0,0.0
201905,북구,외부방문자(b+c),983986.0,0.0
201906,북구,외지인방문자(b),965559.0,0.0
201906,북구,외국인방문자(c),6149.0,0.0
201906,북구,외부방문자(b+c),971708.0,0.0
201907,북구,외지인방문자(b),929601.0,0.0
201907,북구,외국인방문자(c),6569.0,0.0
201907,북구,외부방문자(b+c),936170.0,0.0
201908,북구,외지인방문자(b),995989.0,0.0
201908,북구,외국인방문자(c),6570.0,0.0
201908,북구,외부방문자(b+c),1002559.0,0.0
201909,북구,외지인방문자(b),1116839.0,0.0
201909,북구,외국인방문자(c),6279.0,0.0
201909,북구,외부방문자(b+c),1123118.0,0.0
201910,북구,외지인방문자(b),924996.0,0.0
201910,북구,외국인방문자(c),7323.0,0.0
201910,북구,외부방문자(b+c),932319.0,0.0
201911,북구,외지인방문자(b),931552.0,0.0
201911,북구,외국인방문자(c),6040.0,0.0
201911,북구,외부방문자(b+c),937592.0,0.0
201912,북구,외지인방문자(b),1018893.0,0.0
201912,북구,외국인방문자(c),6385.0,0.0
201912,북구,외부방문자(b+c),1025278.0,0.0
