기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,서구,외지인방문자(b),1144095.0,0.0
201901,서구,외국인방문자(c),33015.0,0.0
201901,서구,외부방문자(b+c),1177110.0,0.0
201902,서구,외지인방문자(b),1202647.0,0.0
201902,서구,외국인방문자(c),39423.0,0.0
201902,서구,외부방문자(b+c),1242070.0,0.0
201903,서구,외지인방문자(b),1139113.0,0.0
201903,서구,외국인방문자(c),39878.0,0.0
201903,서구,외부방문자(b+c),1178991.0,0.0
201904,서구,외지인방문자(b),1065737.0,0.0
201904,서구,외국인방문자(c),35012.0,0.0
201904,서구,외부방문자(b+c),1100750.0,0.0
201905,서구,외지인방문자(b),1130745.0,0.0
201905,서구,외국인방문자(c),45044.0,0.0
201905,서구,외부방문자(b+c),1175789.0,0.0
201906,서구,외지인방문자(b),1165430.0,0.0
201906,서구,외국인방문자(c),48172.0,0.0
201906,서구,외부방문자(b+c),1213603.0,0.0
201907,서구,외지인방문자(b),1141887.0,0.0
201907,서구,외국인방문자(c),47357.0,0.0
201907,서구,외부방문자(b+c),1189244.0,0.0
201908,서구,외지인방문자(b),1226365.0,0.0
201908,서구,외국인방문자(c),39238.0,0.0
201908,서구,외부방문자(b+c),1265603.0,0.0
201909,서구,외지인방문자(b),1073063.0,0.0
201909,서구,외국인방문자(c),32424.0,0.0
201909,서구,외부방문자(b+c),1105486.0,0.0
201910,서구,외지인방문자(b),1054561.0,0.0
201910,서구,외국인방문자(c),50223.0,0.0
201910,서구,외부방문자(b+c),1104784.0,0.0
201911,서구,외지인방문자(b),1008214.0,0.0
201911,서구,외국인방문자(c),42368.0,0.0
201911,서구,외부방문자(b+c),1050582.0,0.0
201912,서구,외지인방문자(b),1176240.0,0.0
201912,서구,외국인방문자(c),45352.0,0.0
201912,서구,외부방문자(b+c),1221591.0,0.0
