기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영도구,외지인방문자(b),417876.0,0.0
201901,영도구,외국인방문자(c),29416.0,0.0
201901,영도구,외부방문자(b+c),447293.0,0.0
201902,영도구,외지인방문자(b),552217.0,0.0
201902,영도구,외국인방문자(c),36757.0,0.0
201902,영도구,외부방문자(b+c),588975.0,0.0
201903,영도구,외지인방문자(b),463607.0,0.0
201903,영도구,외국인방문자(c),44211.0,0.0
201903,영도구,외부방문자(b+c),507818.0,0.0
201904,영도구,외지인방문자(b),425753.0,0.0
201904,영도구,외국인방문자(c),47121.0,0.0
201904,영도구,외부방문자(b+c),472875.0,0.0
201905,영도구,외지인방문자(b),491629.0,0.0
201905,영도구,외국인방문자(c),52987.0,0.0
201905,영도구,외부방문자(b+c),544616.0,0.0
201906,영도구,외지인방문자(b),548981.0,0.0
201906,영도구,외국인방문자(c),37200.0,0.0
201906,영도구,외부방문자(b+c),586180.0,0.0
201907,영도구,외지인방문자(b),515497.0,0.0
201907,영도구,외국인방문자(c),35409.0,0.0
201907,영도구,외부방문자(b+c),550906.0,0.0
201908,영도구,외지인방문자(b),536992.0,0.0
201908,영도구,외국인방문자(c),33926.0,0.0
201908,영도구,외부방문자(b+c),570918.0,0.0
201909,영도구,외지인방문자(b),557464.0,0.0
201909,영도구,외국인방문자(c),41226.0,0.0
201909,영도구,외부방문자(b+c),598689.0,0.0
201910,영도구,외지인방문자(b),490263.0,0.0
201910,영도구,외국인방문자(c),46444.0,0.0
201910,영도구,외부방문자(b+c),536707.0,0.0
201911,영도구,외지인방문자(b),487023.0,0.0
201911,영도구,외국인방문자(c),30824.0,0.0
201911,영도구,외부방문자(b+c),517847.0,0.0
201912,영도구,외지인방문자(b),496990.0,0.0
201912,영도구,외국인방문자(c),29649.0,0.0
201912,영도구,외부방문자(b+c),526638.0,0.0
