기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,기장군,외지인방문자(b),1563349.0,0.0
201901,기장군,외국인방문자(c),21587.0,0.0
201901,기장군,외부방문자(b+c),1584936.0,0.0
201902,기장군,외지인방문자(b),1772201.0,0.0
201902,기장군,외국인방문자(c),17535.0,0.0
201902,기장군,외부방문자(b+c),1789736.0,0.0
201903,기장군,외지인방문자(b),1687396.0,0.0
201903,기장군,외국인방문자(c),19718.0,0.0
201903,기장군,외부방문자(b+c),1707115.0,0.0
201904,기장군,외지인방문자(b),1617257.0,0.0
201904,기장군,외국인방문자(c),19860.0,0.0
201904,기장군,외부방문자(b+c),1637117.0,0.0
201905,기장군,외지인방문자(b),1883000.0,0.0
201905,기장군,외국인방문자(c),21867.0,0.0
201905,기장군,외부방문자(b+c),1904867.0,0.0
201906,기장군,외지인방문자(b),1721292.0,0.0
201906,기장군,외국인방문자(c),17495.0,0.0
201906,기장군,외부방문자(b+c),1738787.0,0.0
201907,기장군,외지인방문자(b),1567482.0,0.0
201907,기장군,외국인방문자(c),21635.0,0.0
201907,기장군,외부방문자(b+c),1589117.0,0.0
201908,기장군,외지인방문자(b),1903708.0,0.0
201908,기장군,외국인방문자(c),25185.0,0.0
201908,기장군,외부방문자(b+c),1928892.0,0.0
201909,기장군,외지인방문자(b),1789656.0,0.0
201909,기장군,외국인방문자(c),30419.0,0.0
201909,기장군,외부방문자(b+c),1820076.0,0.0
201910,기장군,외지인방문자(b),1874588.0,0.0
201910,기장군,외국인방문자(c),37364.0,0.0
201910,기장군,외부방문자(b+c),1911951.0,0.0
201911,기장군,외지인방문자(b),1759584.0,0.0
201911,기장군,외국인방문자(c),25671.0,0.0
201911,기장군,외부방문자(b+c),1785255.0,0.0
201912,기장군,외지인방문자(b),1817978.0,0.0
201912,기장군,외국인방문자(c),24614.0,0.0
201912,기장군,외부방문자(b+c),1842592.0,0.0
