기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동래구,외지인방문자(b),1804910.0,0.0
201901,동래구,외국인방문자(c),8210.0,0.0
201901,동래구,외부방문자(b+c),1813120.0,0.0
201902,동래구,외지인방문자(b),1819180.0,0.0
201902,동래구,외국인방문자(c),8382.0,0.0
201902,동래구,외부방문자(b+c),1827562.0,0.0
201903,동래구,외지인방문자(b),1831874.0,0.0
201903,동래구,외국인방문자(c),9403.0,0.0
201903,동래구,외부방문자(b+c),1841277.0,0.0
201904,동래구,외지인방문자(b),1814758.0,0.0
201904,동래구,외국인방문자(c),8221.0,0.0
201904,동래구,외부방문자(b+c),1822979.0,0.0
201905,동래구,외지인방문자(b),1845689.0,0.0
201905,동래구,외국인방문자(c),9424.0,0.0
201905,동래구,외부방문자(b+c),1855113.0,0.0
201906,동래구,외지인방문자(b),1908243.0,0.0
201906,동래구,외국인방문자(c),9355.0,0.0
201906,동래구,외부방문자(b+c),1917598.0,0.0
201907,동래구,외지인방문자(b),1776928.0,0.0
201907,동래구,외국인방문자(c),11314.0,0.0
201907,동래구,외부방문자(b+c),1788243.0,0.0
201908,동래구,외지인방문자(b),1797202.0,0.0
201908,동래구,외국인방문자(c),10714.0,0.0
201908,동래구,외부방문자(b+c),1807916.0,0.0
201909,동래구,외지인방문자(b),1959352.0,0.0
201909,동래구,외국인방문자(c),9077.0,0.0
201909,동래구,외부방문자(b+c),1968429.0,0.0
201910,동래구,외지인방문자(b),1741874.0,0.0
201910,동래구,외국인방문자(c),10493.0,0.0
201910,동래구,외부방문자(b+c),1752367.0,0.0
201911,동래구,외지인방문자(b),1760734.0,0.0
201911,동래구,외국인방문자(c),9246.0,0.0
201911,동래구,외부방문자(b+c),1769980.0,0.0
201912,동래구,외지인방문자(b),1941457.0,0.0
201912,동래구,외국인방문자(c),10489.0,0.0
201912,동래구,외부방문자(b+c),1951946.0,0.0
