기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,사상구,외지인방문자(b),1114651.0,0.0
201901,사상구,외국인방문자(c),12755.0,0.0
201901,사상구,외부방문자(b+c),1127406.0,0.0
201902,사상구,외지인방문자(b),1277399.0,0.0
201902,사상구,외국인방문자(c),15379.0,0.0
201902,사상구,외부방문자(b+c),1292778.0,0.0
201903,사상구,외지인방문자(b),1161854.0,0.0
201903,사상구,외국인방문자(c),20750.0,0.0
201903,사상구,외부방문자(b+c),1182604.0,0.0
201904,사상구,외지인방문자(b),1040487.0,0.0
201904,사상구,외국인방문자(c),17433.0,0.0
201904,사상구,외부방문자(b+c),1057920.0,0.0
201905,사상구,외지인방문자(b),1142205.0,0.0
201905,사상구,외국인방문자(c),17818.0,0.0
201905,사상구,외부방문자(b+c),1160023.0,0.0
201906,사상구,외지인방문자(b),1178911.0,0.0
201906,사상구,외국인방문자(c),17336.0,0.0
201906,사상구,외부방문자(b+c),1196247.0,0.0
201907,사상구,외지인방문자(b),1104279.0,0.0
201907,사상구,외국인방문자(c),16430.0,0.0
201907,사상구,외부방문자(b+c),1120709.0,0.0
201908,사상구,외지인방문자(b),1130947.0,0.0
201908,사상구,외국인방문자(c),16213.0,0.0
201908,사상구,외부방문자(b+c),1147160.0,0.0
201909,사상구,외지인방문자(b),1229360.0,0.0
201909,사상구,외국인방문자(c),22135.0,0.0
201909,사상구,외부방문자(b+c),1251494.0,0.0
201910,사상구,외지인방문자(b),1091953.0,0.0
201910,사상구,외국인방문자(c),27847.0,0.0
201910,사상구,외부방문자(b+c),1119799.0,0.0
201911,사상구,외지인방문자(b),1082492.0,0.0
201911,사상구,외국인방문자(c),23318.0,0.0
201911,사상구,외부방문자(b+c),1105810.0,0.0
201912,사상구,외지인방문자(b),1194759.0,0.0
201912,사상구,외국인방문자(c),18557.0,0.0
201912,사상구,외부방문자(b+c),1213317.0,0.0
