기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,수영구,외지인방문자(b),1215504.0,0.0
201901,수영구,외국인방문자(c),13540.0,0.0
201901,수영구,외부방문자(b+c),1229045.0,0.0
201902,수영구,외지인방문자(b),1349245.0,0.0
201902,수영구,외국인방문자(c),11973.0,0.0
201902,수영구,외부방문자(b+c),1361217.0,0.0
201903,수영구,외지인방문자(b),1201668.0,0.0
201903,수영구,외국인방문자(c),12748.0,0.0
201903,수영구,외부방문자(b+c),1214416.0,0.0
201904,수영구,외지인방문자(b),1148930.0,0.0
201904,수영구,외국인방문자(c),12738.0,0.0
201904,수영구,외부방문자(b+c),1161668.0,0.0
201905,수영구,외지인방문자(b),1283952.0,0.0
201905,수영구,외국인방문자(c),14537.0,0.0
201905,수영구,외부방문자(b+c),1298489.0,0.0
201906,수영구,외지인방문자(b),1357850.0,0.0
201906,수영구,외국인방문자(c),14012.0,0.0
201906,수영구,외부방문자(b+c),1371862.0,0.0
201907,수영구,외지인방문자(b),1382983.0,0.0
201907,수영구,외국인방문자(c),15983.0,0.0
201907,수영구,외부방문자(b+c),1398966.0,0.0
201908,수영구,외지인방문자(b),1586673.0,0.0
201908,수영구,외국인방문자(c),16179.0,0.0
201908,수영구,외부방문자(b+c),1602852.0,0.0
201909,수영구,외지인방문자(b),1267781.0,0.0
201909,수영구,외국인방문자(c),16033.0,0.0
201909,수영구,외부방문자(b+c),1283814.0,0.0
201910,수영구,외지인방문자(b),1163021.0,0.0
201910,수영구,외국인방문자(c),18948.0,0.0
201910,수영구,외부방문자(b+c),1181969.0,0.0
201911,수영구,외지인방문자(b),1241001.0,0.0
201911,수영구,외국인방문자(c),13504.0,0.0
201911,수영구,외부방문자(b+c),1254505.0,0.0
201912,수영구,외지인방문자(b),1318655.0,0.0
201912,수영구,외국인방문자(c),14053.0,0.0
201912,수영구,외부방문자(b+c),1332708.0,0.0
