기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,중구,외지인방문자(b),773122.0,0.0
201901,중구,외국인방문자(c),29413.0,0.0
201901,중구,외부방문자(b+c),802535.0,0.0
201902,중구,외지인방문자(b),853069.0,0.0
201902,중구,외국인방문자(c),32964.0,0.0
201902,중구,외부방문자(b+c),886033.0,0.0
201903,중구,외지인방문자(b),766812.0,0.0
201903,중구,외국인방문자(c),34328.0,0.0
201903,중구,외부방문자(b+c),801140.0,0.0
201904,중구,외지인방문자(b),729041.0,0.0
201904,중구,외국인방문자(c),37913.0,0.0
201904,중구,외부방문자(b+c),766954.0,0.0
201905,중구,외지인방문자(b),841007.0,0.0
201905,중구,외국인방문자(c),42794.0,0.0
201905,중구,외부방문자(b+c),883801.0,0.0
201906,중구,외지인방문자(b),750760.0,0.0
201906,중구,외국인방문자(c),40010.0,0.0
201906,중구,외부방문자(b+c),790770.0,0.0
201907,중구,외지인방문자(b),776106.0,0.0
201907,중구,외국인방문자(c),40472.0,0.0
201907,중구,외부방문자(b+c),816577.0,0.0
201908,중구,외지인방문자(b),1018537.0,0.0
201908,중구,외국인방문자(c),44516.0,0.0
201908,중구,외부방문자(b+c),1063052.0,0.0
201909,중구,외지인방문자(b),893249.0,0.0
201909,중구,외국인방문자(c),40225.0,0.0
201909,중구,외부방문자(b+c),933474.0,0.0
201910,중구,외지인방문자(b),894851.0,0.0
201910,중구,외국인방문자(c),50120.0,0.0
201910,중구,외부방문자(b+c),944972.0,0.0
201911,중구,외지인방문자(b),954517.0,0.0
201911,중구,외국인방문자(c),40546.0,0.0
201911,중구,외부방문자(b+c),995063.0,0.0
201912,중구,외지인방문자(b),1106923.0,0.0
201912,중구,외국인방문자(c),40749.0,0.0
201912,중구,외부방문자(b+c),1147672.0,0.0
