기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,세종특별자치시,외지인방문자(b),1087485.0,0.0
201901,세종특별자치시,외국인방문자(c),24704.0,0.0
201901,세종특별자치시,외부방문자(b+c),1112189.0,0.0
201902,세종특별자치시,외지인방문자(b),1216046.0,0.0
201902,세종특별자치시,외국인방문자(c),21981.0,0.0
201902,세종특별자치시,외부방문자(b+c),1238027.0,0.0
201903,세종특별자치시,외지인방문자(b),1146397.0,0.0
201903,세종특별자치시,외국인방문자(c),29916.0,0.0
201903,세종특별자치시,외부방문자(b+c),1176313.0,0.0
201904,세종특별자치시,외지인방문자(b),1146062.0,0.0
201904,세종특별자치시,외국인방문자(c),25189.0,0.0
201904,세종특별자치시,외부방문자(b+c),1171250.0,0.0
201905,세종특별자치시,외지인방문자(b),1296756.0,0.0
201905,세종특별자치시,외국인방문자(c),25630.0,0.0
201905,세종특별자치시,외부방문자(b+c),1322386.0,0.0
201906,세종특별자치시,외지인방문자(b),1258862.0,0.0
201906,세종특별자치시,외국인방문자(c),24891.0,0.0
201906,세종특별자치시,외부방문자(b+c),1283753.0,0.0
201907,세종특별자치시,외지인방문자(b),1190908.0,0.0
201907,세종특별자치시,외국인방문자(c),24877.0,0.0
201907,세종특별자치시,외부방문자(b+c),1215785.0,0.0
201908,세종특별자치시,외지인방문자(b),1287059.0,0.0
201908,세종특별자치시,외국인방문자(c),23765.0,0.0
201908,세종특별자치시,외부방문자(b+c),1310824.0,0.0
201909,세종특별자치시,외지인방문자(b),1293625.0,0.0
201909,세종특별자치시,외국인방문자(c),26752.0,0.0
201909,세종특별자치시,외부방문자(b+c),1320377.0,0.0
201910,세종특별자치시,외지인방문자(b),1264696.0,0.0
201910,세종특별자치시,외국인방문자(c),28294.0,0.0
201910,세종특별자치시,외부방문자(b+c),1292990.0,0.0
201911,세종특별자치시,외지인방문자(b),1242716.0,0.0
201911,세종특별자치시,외국인방문자(c),25560.0,0.0
201911,세종특별자치시,외부방문자(b+c),1268275.0,0.0
201912,세종특별자치시,외지인방문자(b),1186095.0,0.0
201912,세종특별자치시,외국인방문자(c),24337.0,0.0
201912,세종특별자치시,외부방문자(b+c),1210432.0,0.0
