기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남구,외지인방문자(b),1738479.0,0.0
201901,남구,외국인방문자(c),25336.0,0.0
201901,남구,외부방문자(b+c),1763814.0,0.0
201902,남구,외지인방문자(b),1787582.0,0.0
201902,남구,외국인방문자(c),25502.0,0.0
201902,남구,외부방문자(b+c),1813084.0,0.0
201903,남구,외지인방문자(b),1755770.0,0.0
201903,남구,외국인방문자(c),28282.0,0.0
201903,남구,외부방문자(b+c),1784052.0,0.0
201904,남구,외지인방문자(b),1660748.0,0.0
201904,남구,외국인방문자(c),25230.0,0.0
201904,남구,외부방문자(b+c),1685978.0,0.0
201905,남구,외지인방문자(b),1826282.0,0.0
201905,남구,외국인방문자(c),28992.0,0.0
201905,남구,외부방문자(b+c),1855275.0,0.0
201906,남구,외지인방문자(b),1802700.0,0.0
201906,남구,외국인방문자(c),26704.0,0.0
201906,남구,외부방문자(b+c),1829404.0,0.0
201907,남구,외지인방문자(b),1704206.0,0.0
201907,남구,외국인방문자(c),27837.0,0.0
201907,남구,외부방문자(b+c),1732043.0,0.0
201908,남구,외지인방문자(b),1807704.0,0.0
201908,남구,외국인방문자(c),28825.0,0.0
201908,남구,외부방문자(b+c),1836528.0,0.0
201909,남구,외지인방문자(b),1811257.0,0.0
201909,남구,외국인방문자(c),29549.0,0.0
201909,남구,외부방문자(b+c),1840806.0,0.0
201910,남구,외지인방문자(b),1754180.0,0.0
201910,남구,외국인방문자(c),33950.0,0.0
201910,남구,외부방문자(b+c),1788130.0,0.0
201911,남구,외지인방문자(b),1752394.0,0.0
201911,남구,외국인방문자(c),28670.0,0.0
201911,남구,외부방문자(b+c),1781064.0,0.0
201912,남구,외지인방문자(b),1907471.0,0.0
201912,남구,외국인방문자(c),29233.0,0.0
201912,남구,외부방문자(b+c),1936704.0,0.0
