기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,울주군,외지인방문자(b),1244780.0,0.0
201901,울주군,외국인방문자(c),22307.0,0.0
201901,울주군,외부방문자(b+c),1267088.0,0.0
201902,울주군,외지인방문자(b),1328019.0,0.0
201902,울주군,외국인방문자(c),23538.0,0.0
201902,울주군,외부방문자(b+c),1351558.0,0.0
201903,울주군,외지인방문자(b),1383422.0,0.0
201903,울주군,외국인방문자(c),24548.0,0.0
201903,울주군,외부방문자(b+c),1407970.0,0.0
201904,울주군,외지인방문자(b),1314419.0,0.0
201904,울주군,외국인방문자(c),23629.0,0.0
201904,울주군,외부방문자(b+c),1338049.0,0.0
201905,울주군,외지인방문자(b),1428073.0,0.0
201905,울주군,외국인방문자(c),26269.0,0.0
201905,울주군,외부방문자(b+c),1454341.0,0.0
201906,울주군,외지인방문자(b),1409105.0,0.0
201906,울주군,외국인방문자(c),24715.0,0.0
201906,울주군,외부방문자(b+c),1433820.0,0.0
201907,울주군,외지인방문자(b),1443346.0,0.0
201907,울주군,외국인방문자(c),24576.0,0.0
201907,울주군,외부방문자(b+c),1467922.0,0.0
201908,울주군,외지인방문자(b),1834278.0,0.0
201908,울주군,외국인방문자(c),24654.0,0.0
201908,울주군,외부방문자(b+c),1858932.0,0.0
201909,울주군,외지인방문자(b),1450819.0,0.0
201909,울주군,외국인방문자(c),27425.0,0.0
201909,울주군,외부방문자(b+c),1478244.0,0.0
201910,울주군,외지인방문자(b),1488227.0,0.0
201910,울주군,외국인방문자(c),29489.0,0.0
201910,울주군,외부방문자(b+c),1517717.0,0.0
201911,울주군,외지인방문자(b),1424505.0,0.0
201911,울주군,외국인방문자(c),24477.0,0.0
201911,울주군,외부방문자(b+c),1448982.0,0.0
201912,울주군,외지인방문자(b),1354423.0,0.0
201912,울주군,외국인방문자(c),26696.0,0.0
201912,울주군,외부방문자(b+c),1381120.0,0.0
