기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,동구,외지인방문자(b),518843.0,0.0
201901,동구,외국인방문자(c),16060.0,0.0
201901,동구,외부방문자(b+c),534903.0,0.0
201902,동구,외지인방문자(b),552885.0,0.0
201902,동구,외국인방문자(c),16866.0,0.0
201902,동구,외부방문자(b+c),569751.0,0.0
201903,동구,외지인방문자(b),527694.0,0.0
201903,동구,외국인방문자(c),17965.0,0.0
201903,동구,외부방문자(b+c),545658.0,0.0
201904,동구,외지인방문자(b),513450.0,0.0
201904,동구,외국인방문자(c),17345.0,0.0
201904,동구,외부방문자(b+c),530795.0,0.0
201905,동구,외지인방문자(b),593452.0,0.0
201905,동구,외국인방문자(c),18980.0,0.0
201905,동구,외부방문자(b+c),612432.0,0.0
201906,동구,외지인방문자(b),575514.0,0.0
201906,동구,외국인방문자(c),17130.0,0.0
201906,동구,외부방문자(b+c),592644.0,0.0
201907,동구,외지인방문자(b),583259.0,0.0
201907,동구,외국인방문자(c),16030.0,0.0
201907,동구,외부방문자(b+c),599289.0,0.0
201908,동구,외지인방문자(b),658605.0,0.0
201908,동구,외국인방문자(c),17328.0,0.0
201908,동구,외부방문자(b+c),675932.0,0.0
201909,동구,외지인방문자(b),580350.0,0.0
201909,동구,외국인방문자(c),18650.0,0.0
201909,동구,외부방문자(b+c),599000.0,0.0
201910,동구,외지인방문자(b),529287.0,0.0
201910,동구,외국인방문자(c),21596.0,0.0
201910,동구,외부방문자(b+c),550883.0,0.0
201911,동구,외지인방문자(b),505404.0,0.0
201911,동구,외국인방문자(c),16071.0,0.0
201911,동구,외부방문자(b+c),521475.0,0.0
201912,동구,외지인방문자(b),534949.0,0.0
201912,동구,외국인방문자(c),17350.0,0.0
201912,동구,외부방문자(b+c),552299.0,0.0
