기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,중구,외지인방문자(b),840056.0,0.0
201901,중구,외국인방문자(c),4999.0,0.0
201901,중구,외부방문자(b+c),845054.0,0.0
201902,중구,외지인방문자(b),1002839.0,0.0
201902,중구,외국인방문자(c),4503.0,0.0
201902,중구,외부방문자(b+c),1007342.0,0.0
201903,중구,외지인방문자(b),862957.0,0.0
201903,중구,외국인방문자(c),4443.0,0.0
201903,중구,외부방문자(b+c),867400.0,0.0
201904,중구,외지인방문자(b),833839.0,0.0
201904,중구,외국인방문자(c),4139.0,0.0
201904,중구,외부방문자(b+c),837978.0,0.0
201905,중구,외지인방문자(b),958124.0,0.0
201905,중구,외국인방문자(c),4509.0,0.0
201905,중구,외부방문자(b+c),962633.0,0.0
201906,중구,외지인방문자(b),929554.0,0.0
201906,중구,외국인방문자(c),4334.0,0.0
201906,중구,외부방문자(b+c),933887.0,0.0
201907,중구,외지인방문자(b),914988.0,0.0
201907,중구,외국인방문자(c),5476.0,0.0
201907,중구,외부방문자(b+c),920464.0,0.0
201908,중구,외지인방문자(b),954014.0,0.0
201908,중구,외국인방문자(c),5132.0,0.0
201908,중구,외부방문자(b+c),959146.0,0.0
201909,중구,외지인방문자(b),987684.0,0.0
201909,중구,외국인방문자(c),4550.0,0.0
201909,중구,외부방문자(b+c),992234.0,0.0
201910,중구,외지인방문자(b),931129.0,0.0
201910,중구,외국인방문자(c),5395.0,0.0
201910,중구,외부방문자(b+c),936524.0,0.0
201911,중구,외지인방문자(b),886354.0,0.0
201911,중구,외국인방문자(c),4733.0,0.0
201911,중구,외부방문자(b+c),891087.0,0.0
201912,중구,외지인방문자(b),959405.0,0.0
201912,중구,외국인방문자(c),5251.0,0.0
201912,중구,외부방문자(b+c),964656.0,0.0
