기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,북구,외지인방문자(b),1003475.0,0.0
201901,북구,외국인방문자(c),21413.0,0.0
201901,북구,외부방문자(b+c),1024888.0,0.0
201902,북구,외지인방문자(b),1025262.0,0.0
201902,북구,외국인방문자(c),11695.0,0.0
201902,북구,외부방문자(b+c),1036957.0,0.0
201903,북구,외지인방문자(b),1013557.0,0.0
201903,북구,외국인방문자(c),10840.0,0.0
201903,북구,외부방문자(b+c),1024397.0,0.0
201904,북구,외지인방문자(b),947053.0,0.0
201904,북구,외국인방문자(c),15638.0,0.0
201904,북구,외부방문자(b+c),962691.0,0.0
201905,북구,외지인방문자(b),1046369.0,0.0
201905,북구,외국인방문자(c),16140.0,0.0
201905,북구,외부방문자(b+c),1062509.0,0.0
201906,북구,외지인방문자(b),1057726.0,0.0
201906,북구,외국인방문자(c),15809.0,0.0
201906,북구,외부방문자(b+c),1073535.0,0.0
201907,북구,외지인방문자(b),1022068.0,0.0
201907,북구,외국인방문자(c),18932.0,0.0
201907,북구,외부방문자(b+c),1041001.0,0.0
201908,북구,외지인방문자(b),1123685.0,0.0
201908,북구,외국인방문자(c),18793.0,0.0
201908,북구,외부방문자(b+c),1142477.0,0.0
201909,북구,외지인방문자(b),1055207.0,0.0
201909,북구,외국인방문자(c),24097.0,0.0
201909,북구,외부방문자(b+c),1079304.0,0.0
201910,북구,외지인방문자(b),974805.0,0.0
201910,북구,외국인방문자(c),25692.0,0.0
201910,북구,외부방문자(b+c),1000497.0,0.0
201911,북구,외지인방문자(b),996480.0,0.0
201911,북구,외국인방문자(c),20118.0,0.0
201911,북구,외부방문자(b+c),1016598.0,0.0
201912,북구,외지인방문자(b),1127570.0,0.0
201912,북구,외국인방문자(c),21887.0,0.0
201912,북구,외부방문자(b+c),1149457.0,0.0
