기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,강진군,외지인방문자(b),194252.0,0.0
201901,강진군,외국인방문자(c),1962.0,0.0
201901,강진군,외부방문자(b+c),196214.0,0.0
201902,강진군,외지인방문자(b),283754.0,0.0
201902,강진군,외국인방문자(c),1782.0,0.0
201902,강진군,외부방문자(b+c),285537.0,0.0
201903,강진군,외지인방문자(b),227666.0,0.0
201903,강진군,외국인방문자(c),2192.0,0.0
201903,강진군,외부방문자(b+c),229858.0,0.0
201904,강진군,외지인방문자(b),286649.0,0.0
201904,강진군,외국인방문자(c),2257.0,0.0
201904,강진군,외부방문자(b+c),288906.0,0.0
201905,강진군,외지인방문자(b),307236.0,0.0
201905,강진군,외국인방문자(c),2244.0,0.0
201905,강진군,외부방문자(b+c),309480.0,0.0
201906,강진군,외지인방문자(b),248718.0,0.0
201906,강진군,외국인방문자(c),1994.0,0.0
201906,강진군,외부방문자(b+c),250712.0,0.0
201907,강진군,외지인방문자(b),228878.0,0.0
201907,강진군,외국인방문자(c),2034.0,0.0
201907,강진군,외부방문자(b+c),230912.0,0.0
201908,강진군,외지인방문자(b),323031.0,0.0
201908,강진군,외국인방문자(c),2070.0,0.0
201908,강진군,외부방문자(b+c),325101.0,0.0
201909,강진군,외지인방문자(b),337733.0,0.0
201909,강진군,외국인방문자(c),2068.0,0.0
201909,강진군,외부방문자(b+c),339800.0,0.0
201910,강진군,외지인방문자(b),295547.0,0.0
201910,강진군,외국인방문자(c),3072.0,0.0
201910,강진군,외부방문자(b+c),298619.0,0.0
201911,강진군,외지인방문자(b),262199.0,0.0
201911,강진군,외국인방문자(c),2432.0,0.0
201911,강진군,외부방문자(b+c),264632.0,0.0
201912,강진군,외지인방문자(b),217861.0,0.0
201912,강진군,외국인방문자(c),2248.0,0.0
201912,강진군,외부방문자(b+c),220109.0,0.0
