기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,광양시,외지인방문자(b),498167.0,0.0
201901,광양시,외국인방문자(c),14801.0,0.0
201901,광양시,외부방문자(b+c),512969.0,0.0
201902,광양시,외지인방문자(b),672707.0,0.0
201902,광양시,외국인방문자(c),11243.0,0.0
201902,광양시,외부방문자(b+c),683949.0,0.0
201903,광양시,외지인방문자(b),719267.0,0.0
201903,광양시,외국인방문자(c),11589.0,0.0
201903,광양시,외부방문자(b+c),730855.0,0.0
201904,광양시,외지인방문자(b),550469.0,0.0
201904,광양시,외국인방문자(c),13949.0,0.0
201904,광양시,외부방문자(b+c),564418.0,0.0
201905,광양시,외지인방문자(b),618918.0,0.0
201905,광양시,외국인방문자(c),17475.0,0.0
201905,광양시,외부방문자(b+c),636393.0,0.0
201906,광양시,외지인방문자(b),614094.0,0.0
201906,광양시,외국인방문자(c),16213.0,0.0
201906,광양시,외부방문자(b+c),630307.0,0.0
201907,광양시,외지인방문자(b),694026.0,0.0
201907,광양시,외국인방문자(c),18274.0,0.0
201907,광양시,외부방문자(b+c),712301.0,0.0
201908,광양시,외지인방문자(b),964960.0,0.0
201908,광양시,외국인방문자(c),16663.0,0.0
201908,광양시,외부방문자(b+c),981623.0,0.0
201909,광양시,외지인방문자(b),691553.0,0.0
201909,광양시,외국인방문자(c),15879.0,0.0
201909,광양시,외부방문자(b+c),707432.0,0.0
201910,광양시,외지인방문자(b),593621.0,0.0
201910,광양시,외국인방문자(c),18972.0,0.0
201910,광양시,외부방문자(b+c),612593.0,0.0
201911,광양시,외지인방문자(b),591047.0,0.0
201911,광양시,외국인방문자(c),17414.0,0.0
201911,광양시,외부방문자(b+c),608461.0,0.0
201912,광양시,외지인방문자(b),607403.0,0.0
201912,광양시,외국인방문자(c),17294.0,0.0
201912,광양시,외부방문자(b+c),624697.0,0.0
