기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,담양군,외지인방문자(b),423386.0,0.0
201901,담양군,외국인방문자(c),2083.0,0.0
201901,담양군,외부방문자(b+c),425469.0,0.0
201902,담양군,외지인방문자(b),558354.0,0.0
201902,담양군,외국인방문자(c),1786.0,0.0
201902,담양군,외부방문자(b+c),560139.0,0.0
201903,담양군,외지인방문자(b),527821.0,0.0
201903,담양군,외국인방문자(c),2014.0,0.0
201903,담양군,외부방문자(b+c),529834.0,0.0
201904,담양군,외지인방문자(b),587222.0,0.0
201904,담양군,외국인방문자(c),2052.0,0.0
201904,담양군,외부방문자(b+c),589274.0,0.0
201905,담양군,외지인방문자(b),746478.0,0.0
201905,담양군,외국인방문자(c),2243.0,0.0
201905,담양군,외부방문자(b+c),748721.0,0.0
201906,담양군,외지인방문자(b),689002.0,0.0
201906,담양군,외국인방문자(c),2170.0,0.0
201906,담양군,외부방문자(b+c),691173.0,0.0
201907,담양군,외지인방문자(b),606322.0,0.0
201907,담양군,외국인방문자(c),2489.0,0.0
201907,담양군,외부방문자(b+c),608811.0,0.0
201908,담양군,외지인방문자(b),831338.0,0.0
201908,담양군,외국인방문자(c),2299.0,0.0
201908,담양군,외부방문자(b+c),833637.0,0.0
201909,담양군,외지인방문자(b),649275.0,0.0
201909,담양군,외국인방문자(c),2154.0,0.0
201909,담양군,외부방문자(b+c),651429.0,0.0
201910,담양군,외지인방문자(b),665137.0,0.0
201910,담양군,외국인방문자(c),3754.0,0.0
201910,담양군,외부방문자(b+c),668891.0,0.0
201911,담양군,외지인방문자(b),664315.0,0.0
201911,담양군,외국인방문자(c),3374.0,0.0
201911,담양군,외부방문자(b+c),667689.0,0.0
201912,담양군,외지인방문자(b),555287.0,0.0
201912,담양군,외국인방문자(c),2576.0,0.0
201912,담양군,외부방문자(b+c),557862.0,0.0
