기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,보성군,외지인방문자(b),296007.0,0.0
201901,보성군,외국인방문자(c),2275.0,0.0
201901,보성군,외부방문자(b+c),298282.0,0.0
201902,보성군,외지인방문자(b),418929.0,0.0
201902,보성군,외국인방문자(c),2591.0,0.0
201902,보성군,외부방문자(b+c),421520.0,0.0
201903,보성군,외지인방문자(b),329594.0,0.0
201903,보성군,외국인방문자(c),3184.0,0.0
201903,보성군,외부방문자(b+c),332778.0,0.0
201904,보성군,외지인방문자(b),367769.0,0.0
201904,보성군,외국인방문자(c),3756.0,0.0
201904,보성군,외부방문자(b+c),371525.0,0.0
201905,보성군,외지인방문자(b),446954.0,0.0
201905,보성군,외국인방문자(c),4011.0,0.0
201905,보성군,외부방문자(b+c),450966.0,0.0
201906,보성군,외지인방문자(b),356934.0,0.0
201906,보성군,외국인방문자(c),3393.0,0.0
201906,보성군,외부방문자(b+c),360328.0,0.0
201907,보성군,외지인방문자(b),329589.0,0.0
201907,보성군,외국인방문자(c),3383.0,0.0
201907,보성군,외부방문자(b+c),332972.0,0.0
201908,보성군,외지인방문자(b),471592.0,0.0
201908,보성군,외국인방문자(c),2954.0,0.0
201908,보성군,외부방문자(b+c),474545.0,0.0
201909,보성군,외지인방문자(b),478710.0,0.0
201909,보성군,외국인방문자(c),3576.0,0.0
201909,보성군,외부방문자(b+c),482286.0,0.0
201910,보성군,외지인방문자(b),339925.0,0.0
201910,보성군,외국인방문자(c),4430.0,0.0
201910,보성군,외부방문자(b+c),344354.0,0.0
201911,보성군,외지인방문자(b),353854.0,0.0
201911,보성군,외국인방문자(c),3960.0,0.0
201911,보성군,외부방문자(b+c),357815.0,0.0
201912,보성군,외지인방문자(b),385233.0,0.0
201912,보성군,외국인방문자(c),3046.0,0.0
201912,보성군,외부방문자(b+c),388279.0,0.0
