기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,여수시,외지인방문자(b),1215670.0,0.0
201901,여수시,외국인방문자(c),46755.0,0.0
201901,여수시,외부방문자(b+c),1262425.0,0.0
201902,여수시,외지인방문자(b),1498508.0,0.0
201902,여수시,외국인방문자(c),47784.0,0.0
201902,여수시,외부방문자(b+c),1546292.0,0.0
201903,여수시,외지인방문자(b),1351961.0,0.0
201903,여수시,외국인방문자(c),52083.0,0.0
201903,여수시,외부방문자(b+c),1404043.0,0.0
201904,여수시,외지인방문자(b),1334664.0,0.0
201904,여수시,외국인방문자(c),54485.0,0.0
201904,여수시,외부방문자(b+c),1389149.0,0.0
201905,여수시,외지인방문자(b),1493138.0,0.0
201905,여수시,외국인방문자(c),58209.0,0.0
201905,여수시,외부방문자(b+c),1551347.0,0.0
201906,여수시,외지인방문자(b),1487710.0,0.0
201906,여수시,외국인방문자(c),55221.0,0.0
201906,여수시,외부방문자(b+c),1542931.0,0.0
201907,여수시,외지인방문자(b),1565906.0,0.0
201907,여수시,외국인방문자(c),57483.0,0.0
201907,여수시,외부방문자(b+c),1623388.0,0.0
201908,여수시,외지인방문자(b),2385731.0,0.0
201908,여수시,외국인방문자(c),64500.0,0.0
201908,여수시,외부방문자(b+c),2450231.0,0.0
201909,여수시,외지인방문자(b),1448629.0,0.0
201909,여수시,외국인방문자(c),58831.0,0.0
201909,여수시,외부방문자(b+c),1507459.0,0.0
201910,여수시,외지인방문자(b),1589390.0,0.0
201910,여수시,외국인방문자(c),60136.0,0.0
201910,여수시,외부방문자(b+c),1649526.0,0.0
201911,여수시,외지인방문자(b),1412881.0,0.0
201911,여수시,외국인방문자(c),54091.0,0.0
201911,여수시,외부방문자(b+c),1466972.0,0.0
201912,여수시,외지인방문자(b),1408872.0,0.0
201912,여수시,외국인방문자(c),58598.0,0.0
201912,여수시,외부방문자(b+c),1467470.0,0.0
