기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,완도군,외지인방문자(b),227725.0,0.0
201901,완도군,외국인방문자(c),17744.0,0.0
201901,완도군,외부방문자(b+c),245469.0,0.0
201902,완도군,외지인방문자(b),339298.0,0.0
201902,완도군,외국인방문자(c),19617.0,0.0
201902,완도군,외부방문자(b+c),358916.0,0.0
201903,완도군,외지인방문자(b),267847.0,0.0
201903,완도군,외국인방문자(c),33693.0,0.0
201903,완도군,외부방문자(b+c),301540.0,0.0
201904,완도군,외지인방문자(b),348153.0,0.0
201904,완도군,외국인방문자(c),35652.0,0.0
201904,완도군,외부방문자(b+c),383805.0,0.0
201905,완도군,외지인방문자(b),383284.0,0.0
201905,완도군,외국인방문자(c),37784.0,0.0
201905,완도군,외부방문자(b+c),421067.0,0.0
201906,완도군,외지인방문자(b),285927.0,0.0
201906,완도군,외국인방문자(c),32674.0,0.0
201906,완도군,외부방문자(b+c),318601.0,0.0
201907,완도군,외지인방문자(b),337470.0,0.0
201907,완도군,외국인방문자(c),22000.0,0.0
201907,완도군,외부방문자(b+c),359470.0,0.0
201908,완도군,외지인방문자(b),584815.0,0.0
201908,완도군,외국인방문자(c),24324.0,0.0
201908,완도군,외부방문자(b+c),609139.0,0.0
201909,완도군,외지인방문자(b),416600.0,0.0
201909,완도군,외국인방문자(c),22791.0,0.0
201909,완도군,외부방문자(b+c),439391.0,0.0
201910,완도군,외지인방문자(b),296507.0,0.0
201910,완도군,외국인방문자(c),24031.0,0.0
201910,완도군,외부방문자(b+c),320538.0,0.0
201911,완도군,외지인방문자(b),264120.0,0.0
201911,완도군,외국인방문자(c),24779.0,0.0
201911,완도군,외부방문자(b+c),288899.0,0.0
201912,완도군,외지인방문자(b),253234.0,0.0
201912,완도군,외국인방문자(c),22851.0,0.0
201912,완도군,외부방문자(b+c),276085.0,0.0
