기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,진도군,외지인방문자(b),139226.0,0.0
201901,진도군,외국인방문자(c),16221.0,0.0
201901,진도군,외부방문자(b+c),155447.0,0.0
201902,진도군,외지인방문자(b),215823.0,0.0
201902,진도군,외국인방문자(c),14738.0,0.0
201902,진도군,외부방문자(b+c),230561.0,0.0
201903,진도군,외지인방문자(b),172901.0,0.0
201903,진도군,외국인방문자(c),18980.0,0.0
201903,진도군,외부방문자(b+c),191881.0,0.0
201904,진도군,외지인방문자(b),151342.0,0.0
201904,진도군,외국인방문자(c),16872.0,0.0
201904,진도군,외부방문자(b+c),168215.0,0.0
201905,진도군,외지인방문자(b),181651.0,0.0
201905,진도군,외국인방문자(c),17183.0,0.0
201905,진도군,외부방문자(b+c),198835.0,0.0
201906,진도군,외지인방문자(b),163437.0,0.0
201906,진도군,외국인방문자(c),16732.0,0.0
201906,진도군,외부방문자(b+c),180169.0,0.0
201907,진도군,외지인방문자(b),210308.0,0.0
201907,진도군,외국인방문자(c),18127.0,0.0
201907,진도군,외부방문자(b+c),228435.0,0.0
201908,진도군,외지인방문자(b),342106.0,0.0
201908,진도군,외국인방문자(c),22966.0,0.0
201908,진도군,외부방문자(b+c),365072.0,0.0
201909,진도군,외지인방문자(b),298928.0,0.0
201909,진도군,외국인방문자(c),21488.0,0.0
201909,진도군,외부방문자(b+c),320416.0,0.0
201910,진도군,외지인방문자(b),232268.0,0.0
201910,진도군,외국인방문자(c),19674.0,0.0
201910,진도군,외부방문자(b+c),251942.0,0.0
201911,진도군,외지인방문자(b),229916.0,0.0
201911,진도군,외국인방문자(c),19967.0,0.0
201911,진도군,외부방문자(b+c),249883.0,0.0
201912,진도군,외지인방문자(b),230525.0,0.0
201912,진도군,외국인방문자(c),23597.0,0.0
201912,진도군,외부방문자(b+c),254123.0,0.0
