기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,화순군,외지인방문자(b),461160.0,0.0
201901,화순군,외국인방문자(c),2214.0,0.0
201901,화순군,외부방문자(b+c),463374.0,0.0
201902,화순군,외지인방문자(b),592356.0,0.0
201902,화순군,외국인방문자(c),2450.0,0.0
201902,화순군,외부방문자(b+c),594806.0,0.0
201903,화순군,외지인방문자(b),517443.0,0.0
201903,화순군,외국인방문자(c),2808.0,0.0
201903,화순군,외부방문자(b+c),520251.0,0.0
201904,화순군,외지인방문자(b),561819.0,0.0
201904,화순군,외국인방문자(c),2899.0,0.0
201904,화순군,외부방문자(b+c),564718.0,0.0
201905,화순군,외지인방문자(b),618028.0,0.0
201905,화순군,외국인방문자(c),3028.0,0.0
201905,화순군,외부방문자(b+c),621055.0,0.0
201906,화순군,외지인방문자(b),566453.0,0.0
201906,화순군,외국인방문자(c),2692.0,0.0
201906,화순군,외부방문자(b+c),569145.0,0.0
201907,화순군,외지인방문자(b),576901.0,0.0
201907,화순군,외국인방문자(c),2818.0,0.0
201907,화순군,외부방문자(b+c),579719.0,0.0
201908,화순군,외지인방문자(b),701343.0,0.0
201908,화순군,외국인방문자(c),2869.0,0.0
201908,화순군,외부방문자(b+c),704213.0,0.0
201909,화순군,외지인방문자(b),639093.0,0.0
201909,화순군,외국인방문자(c),2631.0,0.0
201909,화순군,외부방문자(b+c),641724.0,0.0
201910,화순군,외지인방문자(b),626472.0,0.0
201910,화순군,외국인방문자(c),3624.0,0.0
201910,화순군,외부방문자(b+c),630096.0,0.0
201911,화순군,외지인방문자(b),631333.0,0.0
201911,화순군,외국인방문자(c),3393.0,0.0
201911,화순군,외부방문자(b+c),634726.0,0.0
201912,화순군,외지인방문자(b),510669.0,0.0
201912,화순군,외국인방문자(c),2808.0,0.0
201912,화순군,외부방문자(b+c),513477.0,0.0
