기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,고흥군,외지인방문자(b),272205.0,0.0
201901,고흥군,외국인방문자(c),4665.0,0.0
201901,고흥군,외부방문자(b+c),276869.0,0.0
201902,고흥군,외지인방문자(b),503346.0,0.0
201902,고흥군,외국인방문자(c),3743.0,0.0
201902,고흥군,외부방문자(b+c),507090.0,0.0
201903,고흥군,외지인방문자(b),324852.0,0.0
201903,고흥군,외국인방문자(c),6171.0,0.0
201903,고흥군,외부방문자(b+c),331023.0,0.0
201904,고흥군,외지인방문자(b),341180.0,0.0
201904,고흥군,외국인방문자(c),8174.0,0.0
201904,고흥군,외부방문자(b+c),349354.0,0.0
201905,고흥군,외지인방문자(b),449226.0,0.0
201905,고흥군,외국인방문자(c),8475.0,0.0
201905,고흥군,외부방문자(b+c),457701.0,0.0
201906,고흥군,외지인방문자(b),395038.0,0.0
201906,고흥군,외국인방문자(c),6022.0,0.0
201906,고흥군,외부방문자(b+c),401060.0,0.0
201907,고흥군,외지인방문자(b),388306.0,0.0
201907,고흥군,외국인방문자(c),4779.0,0.0
201907,고흥군,외부방문자(b+c),393085.0,0.0
201908,고흥군,외지인방문자(b),583346.0,0.0
201908,고흥군,외국인방문자(c),4909.0,0.0
201908,고흥군,외부방문자(b+c),588255.0,0.0
201909,고흥군,외지인방문자(b),590478.0,0.0
201909,고흥군,외국인방문자(c),4552.0,0.0
201909,고흥군,외부방문자(b+c),595030.0,0.0
201910,고흥군,외지인방문자(b),366443.0,0.0
201910,고흥군,외국인방문자(c),6161.0,0.0
201910,고흥군,외부방문자(b+c),372604.0,0.0
201911,고흥군,외지인방문자(b),357549.0,0.0
201911,고흥군,외국인방문자(c),6607.0,0.0
201911,고흥군,외부방문자(b+c),364156.0,0.0
201912,고흥군,외지인방문자(b),327093.0,0.0
201912,고흥군,외국인방문자(c),6686.0,0.0
201912,고흥군,외부방문자(b+c),333780.0,0.0
