기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,구례군,외지인방문자(b),191654.0,0.0
201901,구례군,외국인방문자(c),599.0,0.0
201901,구례군,외부방문자(b+c),192252.0,0.0
201902,구례군,외지인방문자(b),271758.0,0.0
201902,구례군,외국인방문자(c),701.0,0.0
201902,구례군,외부방문자(b+c),272459.0,0.0
201903,구례군,외지인방문자(b),516567.0,0.0
201903,구례군,외국인방문자(c),911.0,0.0
201903,구례군,외부방문자(b+c),517478.0,0.0
201904,구례군,외지인방문자(b),285056.0,0.0
201904,구례군,외국인방문자(c),870.0,0.0
201904,구례군,외부방문자(b+c),285926.0,0.0
201905,구례군,외지인방문자(b),322204.0,0.0
201905,구례군,외국인방문자(c),893.0,0.0
201905,구례군,외부방문자(b+c),323097.0,0.0
201906,구례군,외지인방문자(b),263561.0,0.0
201906,구례군,외국인방문자(c),768.0,0.0
201906,구례군,외부방문자(b+c),264329.0,0.0
201907,구례군,외지인방문자(b),326559.0,0.0
201907,구례군,외국인방문자(c),1122.0,0.0
201907,구례군,외부방문자(b+c),327681.0,0.0
201908,구례군,외지인방문자(b),576378.0,0.0
201908,구례군,외국인방문자(c),1182.0,0.0
201908,구례군,외부방문자(b+c),577561.0,0.0
201909,구례군,외지인방문자(b),310733.0,0.0
201909,구례군,외국인방문자(c),955.0,0.0
201909,구례군,외부방문자(b+c),311688.0,0.0
201910,구례군,외지인방문자(b),312716.0,0.0
201910,구례군,외국인방문자(c),1405.0,0.0
201910,구례군,외부방문자(b+c),314121.0,0.0
201911,구례군,외지인방문자(b),331629.0,0.0
201911,구례군,외국인방문자(c),932.0,0.0
201911,구례군,외부방문자(b+c),332561.0,0.0
201912,구례군,외지인방문자(b),219861.0,0.0
201912,구례군,외국인방문자(c),587.0,0.0
201912,구례군,외부방문자(b+c),220448.0,0.0
