기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,목포시,외지인방문자(b),774245.0,0.0
201901,목포시,외국인방문자(c),10492.0,0.0
201901,목포시,외부방문자(b+c),784736.0,0.0
201902,목포시,외지인방문자(b),911980.0,0.0
201902,목포시,외국인방문자(c),9664.0,0.0
201902,목포시,외부방문자(b+c),921645.0,0.0
201903,목포시,외지인방문자(b),784994.0,0.0
201903,목포시,외국인방문자(c),10425.0,0.0
201903,목포시,외부방문자(b+c),795419.0,0.0
201904,목포시,외지인방문자(b),832662.0,0.0
201904,목포시,외국인방문자(c),9869.0,0.0
201904,목포시,외부방문자(b+c),842531.0,0.0
201905,목포시,외지인방문자(b),884472.0,0.0
201905,목포시,외국인방문자(c),10757.0,0.0
201905,목포시,외부방문자(b+c),895230.0,0.0
201906,목포시,외지인방문자(b),836538.0,0.0
201906,목포시,외국인방문자(c),13721.0,0.0
201906,목포시,외부방문자(b+c),850259.0,0.0
201907,목포시,외지인방문자(b),837978.0,0.0
201907,목포시,외국인방문자(c),13759.0,0.0
201907,목포시,외부방문자(b+c),851737.0,0.0
201908,목포시,외지인방문자(b),1047419.0,0.0
201908,목포시,외국인방문자(c),17579.0,0.0
201908,목포시,외부방문자(b+c),1064998.0,0.0
201909,목포시,외지인방문자(b),1040888.0,0.0
201909,목포시,외국인방문자(c),12644.0,0.0
201909,목포시,외부방문자(b+c),1053532.0,0.0
201910,목포시,외지인방문자(b),993164.0,0.0
201910,목포시,외국인방문자(c),14443.0,0.0
201910,목포시,외부방문자(b+c),1007607.0,0.0
201911,목포시,외지인방문자(b),952010.0,0.0
201911,목포시,외국인방문자(c),12245.0,0.0
201911,목포시,외부방문자(b+c),964256.0,0.0
201912,목포시,외지인방문자(b),937371.0,0.0
201912,목포시,외국인방문자(c),13101.0,0.0
201912,목포시,외부방문자(b+c),950472.0,0.0
