기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,순천시,외지인방문자(b),942613.0,0.0
201901,순천시,외국인방문자(c),8304.0,0.0
201901,순천시,외부방문자(b+c),950917.0,0.0
201902,순천시,외지인방문자(b),1182786.0,0.0
201902,순천시,외국인방문자(c),7341.0,0.0
201902,순천시,외부방문자(b+c),1190126.0,0.0
201903,순천시,외지인방문자(b),1090862.0,0.0
201903,순천시,외국인방문자(c),8541.0,0.0
201903,순천시,외부방문자(b+c),1099403.0,0.0
201904,순천시,외지인방문자(b),1144598.0,0.0
201904,순천시,외국인방문자(c),9546.0,0.0
201904,순천시,외부방문자(b+c),1154144.0,0.0
201905,순천시,외지인방문자(b),1216543.0,0.0
201905,순천시,외국인방문자(c),9411.0,0.0
201905,순천시,외부방문자(b+c),1225954.0,0.0
201906,순천시,외지인방문자(b),1089182.0,0.0
201906,순천시,외국인방문자(c),8303.0,0.0
201906,순천시,외부방문자(b+c),1097485.0,0.0
201907,순천시,외지인방문자(b),1001032.0,0.0
201907,순천시,외국인방문자(c),8053.0,0.0
201907,순천시,외부방문자(b+c),1009085.0,0.0
201908,순천시,외지인방문자(b),1315794.0,0.0
201908,순천시,외국인방문자(c),8358.0,0.0
201908,순천시,외부방문자(b+c),1324152.0,0.0
201909,순천시,외지인방문자(b),1263130.0,0.0
201909,순천시,외국인방문자(c),8756.0,0.0
201909,순천시,외부방문자(b+c),1271886.0,0.0
201910,순천시,외지인방문자(b),1291494.0,0.0
201910,순천시,외국인방문자(c),11014.0,0.0
201910,순천시,외부방문자(b+c),1302508.0,0.0
201911,순천시,외지인방문자(b),1232038.0,0.0
201911,순천시,외국인방문자(c),9267.0,0.0
201911,순천시,외부방문자(b+c),1241305.0,0.0
201912,순천시,외지인방문자(b),1079819.0,0.0
201912,순천시,외국인방문자(c),8409.0,0.0
201912,순천시,외부방문자(b+c),1088228.0,0.0
