기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영광군,외지인방문자(b),243131.0,0.0
201901,영광군,외국인방문자(c),4767.0,0.0
201901,영광군,외부방문자(b+c),247898.0,0.0
201902,영광군,외지인방문자(b),363251.0,0.0
201902,영광군,외국인방문자(c),6292.0,0.0
201902,영광군,외부방문자(b+c),369543.0,0.0
201903,영광군,외지인방문자(b),295461.0,0.0
201903,영광군,외국인방문자(c),7233.0,0.0
201903,영광군,외부방문자(b+c),302694.0,0.0
201904,영광군,외지인방문자(b),343818.0,0.0
201904,영광군,외국인방문자(c),7502.0,0.0
201904,영광군,외부방문자(b+c),351319.0,0.0
201905,영광군,외지인방문자(b),362583.0,0.0
201905,영광군,외국인방문자(c),8282.0,0.0
201905,영광군,외부방문자(b+c),370864.0,0.0
201906,영광군,외지인방문자(b),355847.0,0.0
201906,영광군,외국인방문자(c),6778.0,0.0
201906,영광군,외부방문자(b+c),362625.0,0.0
201907,영광군,외지인방문자(b),329910.0,0.0
201907,영광군,외국인방문자(c),6916.0,0.0
201907,영광군,외부방문자(b+c),336825.0,0.0
201908,영광군,외지인방문자(b),439564.0,0.0
201908,영광군,외국인방문자(c),7525.0,0.0
201908,영광군,외부방문자(b+c),447090.0,0.0
201909,영광군,외지인방문자(b),605047.0,0.0
201909,영광군,외국인방문자(c),8129.0,0.0
201909,영광군,외부방문자(b+c),613176.0,0.0
201910,영광군,외지인방문자(b),340171.0,0.0
201910,영광군,외국인방문자(c),7314.0,0.0
201910,영광군,외부방문자(b+c),347485.0,0.0
201911,영광군,외지인방문자(b),324635.0,0.0
201911,영광군,외국인방문자(c),6879.0,0.0
201911,영광군,외부방문자(b+c),331514.0,0.0
201912,영광군,외지인방문자(b),283592.0,0.0
201912,영광군,외국인방문자(c),8281.0,0.0
201912,영광군,외부방문자(b+c),291873.0,0.0
