기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,장성군,외지인방문자(b),252802.0,0.0
201901,장성군,외국인방문자(c),1542.0,0.0
201901,장성군,외부방문자(b+c),254344.0,0.0
201902,장성군,외지인방문자(b),357063.0,0.0
201902,장성군,외국인방문자(c),1679.0,0.0
201902,장성군,외부방문자(b+c),358742.0,0.0
201903,장성군,외지인방문자(b),315162.0,0.0
201903,장성군,외국인방문자(c),2116.0,0.0
201903,장성군,외부방문자(b+c),317279.0,0.0
201904,장성군,외지인방문자(b),365797.0,0.0
201904,장성군,외국인방문자(c),2065.0,0.0
201904,장성군,외부방문자(b+c),367862.0,0.0
201905,장성군,외지인방문자(b),431145.0,0.0
201905,장성군,외국인방문자(c),2185.0,0.0
201905,장성군,외부방문자(b+c),433330.0,0.0
201906,장성군,외지인방문자(b),420726.0,0.0
201906,장성군,외국인방문자(c),2020.0,0.0
201906,장성군,외부방문자(b+c),422747.0,0.0
201907,장성군,외지인방문자(b),356383.0,0.0
201907,장성군,외국인방문자(c),2113.0,0.0
201907,장성군,외부방문자(b+c),358496.0,0.0
201908,장성군,외지인방문자(b),453085.0,0.0
201908,장성군,외국인방문자(c),1853.0,0.0
201908,장성군,외부방문자(b+c),454937.0,0.0
201909,장성군,외지인방문자(b),448489.0,0.0
201909,장성군,외국인방문자(c),2016.0,0.0
201909,장성군,외부방문자(b+c),450505.0,0.0
201910,장성군,외지인방문자(b),499036.0,0.0
201910,장성군,외국인방문자(c),2879.0,0.0
201910,장성군,외부방문자(b+c),501915.0,0.0
201911,장성군,외지인방문자(b),538036.0,0.0
201911,장성군,외국인방문자(c),3108.0,0.0
201911,장성군,외부방문자(b+c),541143.0,0.0
201912,장성군,외지인방문자(b),303811.0,0.0
201912,장성군,외국인방문자(c),1940.0,0.0
201912,장성군,외부방문자(b+c),305752.0,0.0
