기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,함평군,외지인방문자(b),172473.0,0.0
201901,함평군,외국인방문자(c),1371.0,0.0
201901,함평군,외부방문자(b+c),173844.0,0.0
201902,함평군,외지인방문자(b),282942.0,0.0
201902,함평군,외국인방문자(c),1594.0,0.0
201902,함평군,외부방문자(b+c),284536.0,0.0
201903,함평군,외지인방문자(b),220501.0,0.0
201903,함평군,외국인방문자(c),2099.0,0.0
201903,함평군,외부방문자(b+c),222600.0,0.0
201904,함평군,외지인방문자(b),312076.0,0.0
201904,함평군,외국인방문자(c),2554.0,0.0
201904,함평군,외부방문자(b+c),314631.0,0.0
201905,함평군,외지인방문자(b),394570.0,0.0
201905,함평군,외국인방문자(c),2771.0,0.0
201905,함평군,외부방문자(b+c),397341.0,0.0
201906,함평군,외지인방문자(b),256856.0,0.0
201906,함평군,외국인방문자(c),3057.0,0.0
201906,함평군,외부방문자(b+c),259912.0,0.0
201907,함평군,외지인방문자(b),242305.0,0.0
201907,함평군,외국인방문자(c),2300.0,0.0
201907,함평군,외부방문자(b+c),244604.0,0.0
201908,함평군,외지인방문자(b),312001.0,0.0
201908,함평군,외국인방문자(c),2163.0,0.0
201908,함평군,외부방문자(b+c),314164.0,0.0
201909,함평군,외지인방문자(b),356917.0,0.0
201909,함평군,외국인방문자(c),2100.0,0.0
201909,함평군,외부방문자(b+c),359016.0,0.0
201910,함평군,외지인방문자(b),358037.0,0.0
201910,함평군,외국인방문자(c),2380.0,0.0
201910,함평군,외부방문자(b+c),360416.0,0.0
201911,함평군,외지인방문자(b),273092.0,0.0
201911,함평군,외국인방문자(c),2149.0,0.0
201911,함평군,외부방문자(b+c),275241.0,0.0
201912,함평군,외지인방문자(b),212607.0,0.0
201912,함평군,외국인방문자(c),1958.0,0.0
201912,함평군,외부방문자(b+c),214565.0,0.0
