기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,곡성군,외지인방문자(b),144258.0,0.0
201901,곡성군,외국인방문자(c),827.0,0.0
201901,곡성군,외부방문자(b+c),145085.0,0.0
201902,곡성군,외지인방문자(b),248727.0,0.0
201902,곡성군,외국인방문자(c),696.0,0.0
201902,곡성군,외부방문자(b+c),249423.0,0.0
201903,곡성군,외지인방문자(b),209808.0,0.0
201903,곡성군,외국인방문자(c),947.0,0.0
201903,곡성군,외부방문자(b+c),210755.0,0.0
201904,곡성군,외지인방문자(b),245236.0,0.0
201904,곡성군,외국인방문자(c),902.0,0.0
201904,곡성군,외부방문자(b+c),246138.0,0.0
201905,곡성군,외지인방문자(b),400140.0,0.0
201905,곡성군,외국인방문자(c),883.0,0.0
201905,곡성군,외부방문자(b+c),401023.0,0.0
201906,곡성군,외지인방문자(b),278730.0,0.0
201906,곡성군,외국인방문자(c),794.0,0.0
201906,곡성군,외부방문자(b+c),279524.0,0.0
201907,곡성군,외지인방문자(b),236653.0,0.0
201907,곡성군,외국인방문자(c),1035.0,0.0
201907,곡성군,외부방문자(b+c),237688.0,0.0
201908,곡성군,외지인방문자(b),353272.0,0.0
201908,곡성군,외국인방문자(c),966.0,0.0
201908,곡성군,외부방문자(b+c),354239.0,0.0
201909,곡성군,외지인방문자(b),328197.0,0.0
201909,곡성군,외국인방문자(c),920.0,0.0
201909,곡성군,외부방문자(b+c),329117.0,0.0
201910,곡성군,외지인방문자(b),254277.0,0.0
201910,곡성군,외국인방문자(c),986.0,0.0
201910,곡성군,외부방문자(b+c),255263.0,0.0
201911,곡성군,외지인방문자(b),231834.0,0.0
201911,곡성군,외국인방문자(c),956.0,0.0
201911,곡성군,외부방문자(b+c),232790.0,0.0
201912,곡성군,외지인방문자(b),183308.0,0.0
201912,곡성군,외국인방문자(c),717.0,0.0
201912,곡성군,외부방문자(b+c),184025.0,0.0
