기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,나주시,외지인방문자(b),501690.0,0.0
201901,나주시,외국인방문자(c),7110.0,0.0
201901,나주시,외부방문자(b+c),508800.0,0.0
201902,나주시,외지인방문자(b),695326.0,0.0
201902,나주시,외국인방문자(c),7910.0,0.0
201902,나주시,외부방문자(b+c),703236.0,0.0
201903,나주시,외지인방문자(b),582813.0,0.0
201903,나주시,외국인방문자(c),10107.0,0.0
201903,나주시,외부방문자(b+c),592920.0,0.0
201904,나주시,외지인방문자(b),639540.0,0.0
201904,나주시,외국인방문자(c),12579.0,0.0
201904,나주시,외부방문자(b+c),652119.0,0.0
201905,나주시,외지인방문자(b),681424.0,0.0
201905,나주시,외국인방문자(c),11860.0,0.0
201905,나주시,외부방문자(b+c),693283.0,0.0
201906,나주시,외지인방문자(b),669919.0,0.0
201906,나주시,외국인방문자(c),11003.0,0.0
201906,나주시,외부방문자(b+c),680922.0,0.0
201907,나주시,외지인방문자(b),628547.0,0.0
201907,나주시,외국인방문자(c),9686.0,0.0
201907,나주시,외부방문자(b+c),638233.0,0.0
201908,나주시,외지인방문자(b),751387.0,0.0
201908,나주시,외국인방문자(c),8219.0,0.0
201908,나주시,외부방문자(b+c),759606.0,0.0
201909,나주시,외지인방문자(b),792548.0,0.0
201909,나주시,외국인방문자(c),8643.0,0.0
201909,나주시,외부방문자(b+c),801190.0,0.0
201910,나주시,외지인방문자(b),702369.0,0.0
201910,나주시,외국인방문자(c),12307.0,0.0
201910,나주시,외부방문자(b+c),714676.0,0.0
201911,나주시,외지인방문자(b),627009.0,0.0
201911,나주시,외국인방문자(c),10300.0,0.0
201911,나주시,외부방문자(b+c),637309.0,0.0
201912,나주시,외지인방문자(b),598233.0,0.0
201912,나주시,외국인방문자(c),8916.0,0.0
201912,나주시,외부방문자(b+c),607149.0,0.0
