기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,무안군,외지인방문자(b),488721.0,0.0
201901,무안군,외국인방문자(c),6098.0,0.0
201901,무안군,외부방문자(b+c),494819.0,0.0
201902,무안군,외지인방문자(b),587497.0,0.0
201902,무안군,외국인방문자(c),7672.0,0.0
201902,무안군,외부방문자(b+c),595170.0,0.0
201903,무안군,외지인방문자(b),530151.0,0.0
201903,무안군,외국인방문자(c),12361.0,0.0
201903,무안군,외부방문자(b+c),542511.0,0.0
201904,무안군,외지인방문자(b),561963.0,0.0
201904,무안군,외국인방문자(c),15255.0,0.0
201904,무안군,외부방문자(b+c),577218.0,0.0
201905,무안군,외지인방문자(b),619433.0,0.0
201905,무안군,외국인방문자(c),15516.0,0.0
201905,무안군,외부방문자(b+c),634948.0,0.0
201906,무안군,외지인방문자(b),607081.0,0.0
201906,무안군,외국인방문자(c),13486.0,0.0
201906,무안군,외부방문자(b+c),620567.0,0.0
201907,무안군,외지인방문자(b),592726.0,0.0
201907,무안군,외국인방문자(c),10479.0,0.0
201907,무안군,외부방문자(b+c),603206.0,0.0
201908,무안군,외지인방문자(b),660700.0,0.0
201908,무안군,외국인방문자(c),10206.0,0.0
201908,무안군,외부방문자(b+c),670906.0,0.0
201909,무안군,외지인방문자(b),660546.0,0.0
201909,무안군,외국인방문자(c),10328.0,0.0
201909,무안군,외부방문자(b+c),670874.0,0.0
201910,무안군,외지인방문자(b),561350.0,0.0
201910,무안군,외국인방문자(c),11621.0,0.0
201910,무안군,외부방문자(b+c),572971.0,0.0
201911,무안군,외지인방문자(b),534312.0,0.0
201911,무안군,외국인방문자(c),9609.0,0.0
201911,무안군,외부방문자(b+c),543921.0,0.0
201912,무안군,외지인방문자(b),520026.0,0.0
201912,무안군,외국인방문자(c),8764.0,0.0
201912,무안군,외부방문자(b+c),528790.0,0.0
