기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,신안군,외지인방문자(b),159506.0,0.0
201901,신안군,외국인방문자(c),46217.0,0.0
201901,신안군,외부방문자(b+c),205723.0,0.0
201902,신안군,외지인방문자(b),237823.0,0.0
201902,신안군,외국인방문자(c),36890.0,0.0
201902,신안군,외부방문자(b+c),274714.0,0.0
201903,신안군,외지인방문자(b),201235.0,0.0
201903,신안군,외국인방문자(c),48446.0,0.0
201903,신안군,외부방문자(b+c),249681.0,0.0
201904,신안군,외지인방문자(b),465134.0,0.0
201904,신안군,외국인방문자(c),52891.0,0.0
201904,신안군,외부방문자(b+c),518025.0,0.0
201905,신안군,외지인방문자(b),460206.0,0.0
201905,신안군,외국인방문자(c),52858.0,0.0
201905,신안군,외부방문자(b+c),513064.0,0.0
201906,신안군,외지인방문자(b),414860.0,0.0
201906,신안군,외국인방문자(c),53606.0,0.0
201906,신안군,외부방문자(b+c),468466.0,0.0
201907,신안군,외지인방문자(b),343641.0,0.0
201907,신안군,외국인방문자(c),62966.0,0.0
201907,신안군,외부방문자(b+c),406606.0,0.0
201908,신안군,외지인방문자(b),530569.0,0.0
201908,신안군,외국인방문자(c),79263.0,0.0
201908,신안군,외부방문자(b+c),609831.0,0.0
201909,신안군,외지인방문자(b),399354.0,0.0
201909,신안군,외국인방문자(c),66025.0,0.0
201909,신안군,외부방문자(b+c),465379.0,0.0
201910,신안군,외지인방문자(b),335257.0,0.0
201910,신안군,외국인방문자(c),48918.0,0.0
201910,신안군,외부방문자(b+c),384175.0,0.0
201911,신안군,외지인방문자(b),265775.0,0.0
201911,신안군,외국인방문자(c),71437.0,0.0
201911,신안군,외부방문자(b+c),337212.0,0.0
201912,신안군,외지인방문자(b),229120.0,0.0
201912,신안군,외국인방문자(c),91446.0,0.0
201912,신안군,외부방문자(b+c),320566.0,0.0
