기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,영암군,외지인방문자(b),293595.0,0.0
201901,영암군,외국인방문자(c),9707.0,0.0
201901,영암군,외부방문자(b+c),303302.0,0.0
201902,영암군,외지인방문자(b),396289.0,0.0
201902,영암군,외국인방문자(c),9999.0,0.0
201902,영암군,외부방문자(b+c),406288.0,0.0
201903,영암군,외지인방문자(b),346509.0,0.0
201903,영암군,외국인방문자(c),11460.0,0.0
201903,영암군,외부방문자(b+c),357969.0,0.0
201904,영암군,외지인방문자(b),423851.0,0.0
201904,영암군,외국인방문자(c),13290.0,0.0
201904,영암군,외부방문자(b+c),437141.0,0.0
201905,영암군,외지인방문자(b),403387.0,0.0
201905,영암군,외국인방문자(c),13472.0,0.0
201905,영암군,외부방문자(b+c),416859.0,0.0
201906,영암군,외지인방문자(b),384634.0,0.0
201906,영암군,외국인방문자(c),11232.0,0.0
201906,영암군,외부방문자(b+c),395865.0,0.0
201907,영암군,외지인방문자(b),370609.0,0.0
201907,영암군,외국인방문자(c),12773.0,0.0
201907,영암군,외부방문자(b+c),383382.0,0.0
201908,영암군,외지인방문자(b),526774.0,0.0
201908,영암군,외국인방문자(c),11044.0,0.0
201908,영암군,외부방문자(b+c),537818.0,0.0
201909,영암군,외지인방문자(b),488736.0,0.0
201909,영암군,외국인방문자(c),12445.0,0.0
201909,영암군,외부방문자(b+c),501181.0,0.0
201910,영암군,외지인방문자(b),420228.0,0.0
201910,영암군,외국인방문자(c),14452.0,0.0
201910,영암군,외부방문자(b+c),434680.0,0.0
201911,영암군,외지인방문자(b),412047.0,0.0
201911,영암군,외국인방문자(c),12647.0,0.0
201911,영암군,외부방문자(b+c),424695.0,0.0
201912,영암군,외지인방문자(b),352330.0,0.0
201912,영암군,외국인방문자(c),12583.0,0.0
201912,영암군,외부방문자(b+c),364913.0,0.0
