기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,장흥군,외지인방문자(b),196668.0,0.0
201901,장흥군,외국인방문자(c),1986.0,0.0
201901,장흥군,외부방문자(b+c),198654.0,0.0
201902,장흥군,외지인방문자(b),297455.0,0.0
201902,장흥군,외국인방문자(c),2083.0,0.0
201902,장흥군,외부방문자(b+c),299538.0,0.0
201903,장흥군,외지인방문자(b),213353.0,0.0
201903,장흥군,외국인방문자(c),3140.0,0.0
201903,장흥군,외부방문자(b+c),216493.0,0.0
201904,장흥군,외지인방문자(b),234050.0,0.0
201904,장흥군,외국인방문자(c),3095.0,0.0
201904,장흥군,외부방문자(b+c),237145.0,0.0
201905,장흥군,외지인방문자(b),280081.0,0.0
201905,장흥군,외국인방문자(c),3324.0,0.0
201905,장흥군,외부방문자(b+c),283405.0,0.0
201906,장흥군,외지인방문자(b),236237.0,0.0
201906,장흥군,외국인방문자(c),2365.0,0.0
201906,장흥군,외부방문자(b+c),238602.0,0.0
201907,장흥군,외지인방문자(b),279432.0,0.0
201907,장흥군,외국인방문자(c),2329.0,0.0
201907,장흥군,외부방문자(b+c),281761.0,0.0
201908,장흥군,외지인방문자(b),324914.0,0.0
201908,장흥군,외국인방문자(c),2427.0,0.0
201908,장흥군,외부방문자(b+c),327341.0,0.0
201909,장흥군,외지인방문자(b),331680.0,0.0
201909,장흥군,외국인방문자(c),2618.0,0.0
201909,장흥군,외부방문자(b+c),334298.0,0.0
201910,장흥군,외지인방문자(b),271065.0,0.0
201910,장흥군,외국인방문자(c),3032.0,0.0
201910,장흥군,외부방문자(b+c),274097.0,0.0
201911,장흥군,외지인방문자(b),251022.0,0.0
201911,장흥군,외국인방문자(c),2624.0,0.0
201911,장흥군,외부방문자(b+c),253645.0,0.0
201912,장흥군,외지인방문자(b),217822.0,0.0
201912,장흥군,외국인방문자(c),2378.0,0.0
201912,장흥군,외부방문자(b+c),220200.0,0.0
