기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,해남군,외지인방문자(b),314807.0,0.0
201901,해남군,외국인방문자(c),8921.0,0.0
201901,해남군,외부방문자(b+c),323728.0,0.0
201902,해남군,외지인방문자(b),471739.0,0.0
201902,해남군,외국인방문자(c),7553.0,0.0
201902,해남군,외부방문자(b+c),479293.0,0.0
201903,해남군,외지인방문자(b),382062.0,0.0
201903,해남군,외국인방문자(c),8823.0,0.0
201903,해남군,외부방문자(b+c),390885.0,0.0
201904,해남군,외지인방문자(b),391394.0,0.0
201904,해남군,외국인방문자(c),10016.0,0.0
201904,해남군,외부방문자(b+c),401409.0,0.0
201905,해남군,외지인방문자(b),434207.0,0.0
201905,해남군,외국인방문자(c),10095.0,0.0
201905,해남군,외부방문자(b+c),444302.0,0.0
201906,해남군,외지인방문자(b),398928.0,0.0
201906,해남군,외국인방문자(c),8840.0,0.0
201906,해남군,외부방문자(b+c),407768.0,0.0
201907,해남군,외지인방문자(b),387126.0,0.0
201907,해남군,외국인방문자(c),9449.0,0.0
201907,해남군,외부방문자(b+c),396575.0,0.0
201908,해남군,외지인방문자(b),578787.0,0.0
201908,해남군,외국인방문자(c),8787.0,0.0
201908,해남군,외부방문자(b+c),587574.0,0.0
201909,해남군,외지인방문자(b),594002.0,0.0
201909,해남군,외국인방문자(c),9542.0,0.0
201909,해남군,외부방문자(b+c),603544.0,0.0
201910,해남군,외지인방문자(b),403901.0,0.0
201910,해남군,외국인방문자(c),11889.0,0.0
201910,해남군,외부방문자(b+c),415791.0,0.0
201911,해남군,외지인방문자(b),428147.0,0.0
201911,해남군,외국인방문자(c),13390.0,0.0
201911,해남군,외부방문자(b+c),441537.0,0.0
201912,해남군,외지인방문자(b),361141.0,0.0
201912,해남군,외국인방문자(c),15829.0,0.0
201912,해남군,외부방문자(b+c),376970.0,0.0
