기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,고창군,외지인방문자(b),278801.0,0.0
201901,고창군,외국인방문자(c),5098.0,0.0
201901,고창군,외부방문자(b+c),283899.0,0.0
201902,고창군,외지인방문자(b),444448.0,0.0
201902,고창군,외국인방문자(c),4753.0,0.0
201902,고창군,외부방문자(b+c),449200.0,0.0
201903,고창군,외지인방문자(b),366165.0,0.0
201903,고창군,외국인방문자(c),7028.0,0.0
201903,고창군,외부방문자(b+c),373193.0,0.0
201904,고창군,외지인방문자(b),462973.0,0.0
201904,고창군,외국인방문자(c),7777.0,0.0
201904,고창군,외부방문자(b+c),470750.0,0.0
201905,고창군,외지인방문자(b),558975.0,0.0
201905,고창군,외국인방문자(c),7697.0,0.0
201905,고창군,외부방문자(b+c),566672.0,0.0
201906,고창군,외지인방문자(b),463541.0,0.0
201906,고창군,외국인방문자(c),7055.0,0.0
201906,고창군,외부방문자(b+c),470597.0,0.0
201907,고창군,외지인방문자(b),397773.0,0.0
201907,고창군,외국인방문자(c),7056.0,0.0
201907,고창군,외부방문자(b+c),404829.0,0.0
201908,고창군,외지인방문자(b),556750.0,0.0
201908,고창군,외국인방문자(c),5971.0,0.0
201908,고창군,외부방문자(b+c),562721.0,0.0
201909,고창군,외지인방문자(b),624143.0,0.0
201909,고창군,외국인방문자(c),6378.0,0.0
201909,고창군,외부방문자(b+c),630521.0,0.0
201910,고창군,외지인방문자(b),511280.0,0.0
201910,고창군,외국인방문자(c),7185.0,0.0
201910,고창군,외부방문자(b+c),518465.0,0.0
201911,고창군,외지인방문자(b),543424.0,0.0
201911,고창군,외국인방문자(c),7020.0,0.0
201911,고창군,외부방문자(b+c),550444.0,0.0
201912,고창군,외지인방문자(b),331713.0,0.0
201912,고창군,외국인방문자(c),5893.0,0.0
201912,고창군,외부방문자(b+c),337605.0,0.0
