기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,남원시,외지인방문자(b),346826.0,0.0
201901,남원시,외국인방문자(c),2761.0,0.0
201901,남원시,외부방문자(b+c),349587.0,0.0
201902,남원시,외지인방문자(b),491643.0,0.0
201902,남원시,외국인방문자(c),2959.0,0.0
201902,남원시,외부방문자(b+c),494602.0,0.0
201903,남원시,외지인방문자(b),427907.0,0.0
201903,남원시,외국인방문자(c),3814.0,0.0
201903,남원시,외부방문자(b+c),431721.0,0.0
201904,남원시,외지인방문자(b),420355.0,0.0
201904,남원시,외국인방문자(c),5125.0,0.0
201904,남원시,외부방문자(b+c),425480.0,0.0
201905,남원시,외지인방문자(b),619544.0,0.0
201905,남원시,외국인방문자(c),4553.0,0.0
201905,남원시,외부방문자(b+c),624096.0,0.0
201906,남원시,외지인방문자(b),449643.0,0.0
201906,남원시,외국인방문자(c),4380.0,0.0
201906,남원시,외부방문자(b+c),454023.0,0.0
201907,남원시,외지인방문자(b),520204.0,0.0
201907,남원시,외국인방문자(c),4725.0,0.0
201907,남원시,외부방문자(b+c),524928.0,0.0
201908,남원시,외지인방문자(b),819215.0,0.0
201908,남원시,외국인방문자(c),4056.0,0.0
201908,남원시,외부방문자(b+c),823271.0,0.0
201909,남원시,외지인방문자(b),564978.0,0.0
201909,남원시,외국인방문자(c),4254.0,0.0
201909,남원시,외부방문자(b+c),569232.0,0.0
201910,남원시,외지인방문자(b),463770.0,0.0
201910,남원시,외국인방문자(c),5741.0,0.0
201910,남원시,외부방문자(b+c),469511.0,0.0
201911,남원시,외지인방문자(b),469990.0,0.0
201911,남원시,외국인방문자(c),4943.0,0.0
201911,남원시,외부방문자(b+c),474933.0,0.0
201912,남원시,외지인방문자(b),335213.0,0.0
201912,남원시,외국인방문자(c),4101.0,0.0
201912,남원시,외부방문자(b+c),339314.0,0.0
