기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,순창군,외지인방문자(b),130247.0,0.0
201901,순창군,외국인방문자(c),586.0,0.0
201901,순창군,외부방문자(b+c),130833.0,0.0
201902,순창군,외지인방문자(b),232071.0,0.0
201902,순창군,외국인방문자(c),644.0,0.0
201902,순창군,외부방문자(b+c),232715.0,0.0
201903,순창군,외지인방문자(b),167279.0,0.0
201903,순창군,외국인방문자(c),983.0,0.0
201903,순창군,외부방문자(b+c),168262.0,0.0
201904,순창군,외지인방문자(b),202010.0,0.0
201904,순창군,외국인방문자(c),830.0,0.0
201904,순창군,외부방문자(b+c),202840.0,0.0
201905,순창군,외지인방문자(b),247763.0,0.0
201905,순창군,외국인방문자(c),808.0,0.0
201905,순창군,외부방문자(b+c),248571.0,0.0
201906,순창군,외지인방문자(b),226259.0,0.0
201906,순창군,외국인방문자(c),786.0,0.0
201906,순창군,외부방문자(b+c),227045.0,0.0
201907,순창군,외지인방문자(b),207811.0,0.0
201907,순창군,외국인방문자(c),1023.0,0.0
201907,순창군,외부방문자(b+c),208834.0,0.0
201908,순창군,외지인방문자(b),298452.0,0.0
201908,순창군,외국인방문자(c),1003.0,0.0
201908,순창군,외부방문자(b+c),299454.0,0.0
201909,순창군,외지인방문자(b),297427.0,0.0
201909,순창군,외국인방문자(c),842.0,0.0
201909,순창군,외부방문자(b+c),298269.0,0.0
201910,순창군,외지인방문자(b),321349.0,0.0
201910,순창군,외국인방문자(c),1287.0,0.0
201910,순창군,외부방문자(b+c),322636.0,0.0
201911,순창군,외지인방문자(b),396624.0,0.0
201911,순창군,외국인방문자(c),1081.0,0.0
201911,순창군,외부방문자(b+c),397705.0,0.0
201912,순창군,외지인방문자(b),153097.0,0.0
201912,순창군,외국인방문자(c),820.0,0.0
201912,순창군,외부방문자(b+c),153918.0,0.0
