기준년월,기초지자체,방문자 구분,방문자 수,전년도 방문자 수
201901,임실군,외지인방문자(b),161187.0,0.0
201901,임실군,외국인방문자(c),767.0,0.0
201901,임실군,외부방문자(b+c),161954.0,0.0
201902,임실군,외지인방문자(b),262889.0,0.0
201902,임실군,외국인방문자(c),651.0,0.0
201902,임실군,외부방문자(b+c),263541.0,0.0
201903,임실군,외지인방문자(b),222298.0,0.0
201903,임실군,외국인방문자(c),898.0,0.0
201903,임실군,외부방문자(b+c),223196.0,0.0
201904,임실군,외지인방문자(b),280320.0,0.0
201904,임실군,외국인방문자(c),925.0,0.0
201904,임실군,외부방문자(b+c),281246.0,0.0
201905,임실군,외지인방문자(b),331331.0,0.0
201905,임실군,외국인방문자(c),967.0,0.0
201905,임실군,외부방문자(b+c),332298.0,0.0
201906,임실군,외지인방문자(b),273173.0,0.0
201906,임실군,외국인방문자(c),896.0,0.0
201906,임실군,외부방문자(b+c),274068.0,0.0
201907,임실군,외지인방문자(b),248892.0,0.0
201907,임실군,외국인방문자(c),840.0,0.0
201907,임실군,외부방문자(b+c),249732.0,0.0
201908,임실군,외지인방문자(b),327970.0,0.0
201908,임실군,외국인방문자(c),903.0,0.0
201908,임실군,외부방문자(b+c),328872.0,0.0
201909,임실군,외지인방문자(b),362746.0,0.0
201909,임실군,외국인방문자(c),902.0,0.0
201909,임실군,외부방문자(b+c),363647.0,0.0
201910,임실군,외지인방문자(b),353968.0,0.0
201910,임실군,외국인방문자(c),1212.0,0.0
201910,임실군,외부방문자(b+c),355180.0,0.0
201911,임실군,외지인방문자(b),272930.0,0.0
201911,임실군,외국인방문자(c),958.0,0.0
201911,임실군,외부방문자(b+c),273888.0,0.0
201912,임실군,외지인방문자(b),209791.0,0.0
201912,임실군,외국인방문자(c),870.0,0.0
201912,임실군,외부방문자(b+c),210661.0,0.0
